"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
26838.893908282,20,75875.7864476386,59,"CORIVA","0 to 150","Both","IBD"
14428.3175906913,12,40530.1163586585,31,"CORIVA","0 to 150","Female","IBD"
12410.5763175907,8,35345.6700889802,28,"CORIVA","0 to 150","Male","IBD"
NA,NA,5882.91033538672,6,"CORIVA","12 to 18","Both","IBD"
9797.33059548255,11,27104.0328542094,26,"CORIVA","19 to 40","Both","IBD"
NA,NA,25888.5831622177,19,"CORIVA","41 to 64","Both","IBD"
NA,NA,11117.1115674196,8,"CORIVA","65 to 150","Both","IBD"
NA,NA,75891.6495550992,9,"CORIVA","0 to 150","Both","Juvenile arthritis"
NA,NA,40538.2286105407,5,"CORIVA","0 to 150","Female","Juvenile arthritis"
NA,NA,5882.20944558522,6,"CORIVA","12 to 18","Both","Juvenile arthritis"
26844.501026694,12,75888.219028063,20,"CORIVA","0 to 150","Both","ME/CFS diagnosis"
14431.8795345654,9,40534.7296372348,14,"CORIVA","0 to 150","Female","ME/CFS diagnosis"
NA,NA,35353.4893908282,6,"CORIVA","0 to 150","Male","ME/CFS diagnosis"
9800.33401779603,5,27110.7734428474,5,"CORIVA","19 to 40","Both","ME/CFS diagnosis"
NA,NA,25892.4435318275,7,"CORIVA","41 to 64","Both","ME/CFS diagnosis"
NA,NA,11118.431211499,5,"CORIVA","65 to 150","Both","ME/CFS diagnosis"
26729.0212183436,353,75586.598220397,942,"CORIVA","0 to 150","Both","ME/CFS symptoms"
14354.0889801506,241,40337.7577002053,616,"CORIVA","0 to 150","Female","ME/CFS symptoms"
12374.932238193,112,35248.8405201916,326,"CORIVA","0 to 150","Male","ME/CFS symptoms"
1393.15537303217,6,NA,NA,"CORIVA","0 to 6","Both","ME/CFS symptoms"
NA,NA,1912.44353182752,13,"CORIVA","0 to 6","Both","ME/CFS symptoms"
2634.47501711157,30,5863.70978781656,67,"CORIVA","12 to 18","Both","ME/CFS symptoms"
9745.78507871321,156,26983.7973990418,395,"CORIVA","19 to 40","Both","ME/CFS symptoms"
8485.68377823409,115,25794.2067077344,302,"CORIVA","41 to 64","Both","ME/CFS symptoms"
2701.27036276523,42,11075.8110882957,137,"CORIVA","65 to 150","Both","ME/CFS symptoms"
NA,NA,2879.38124572211,16,"CORIVA","7 to 11","Both","ME/CFS symptoms"
26816.3203285421,93,75815.0006844627,238,"CORIVA","0 to 150","Both","POTS diagnosis"
14413.363449692,59,40488.4791238878,161,"CORIVA","0 to 150","Female","POTS diagnosis"
12402.9568788501,34,35326.5215605749,77,"CORIVA","0 to 150","Male","POTS diagnosis"
2640.87063655031,6,5879.11293634497,17,"CORIVA","12 to 18","Both","POTS diagnosis"
9788.74195756331,37,27084.5284052019,83,"CORIVA","19 to 40","Both","POTS diagnosis"
8510.893908282,35,25865.4264202601,92,"CORIVA","41 to 64","Both","POTS diagnosis"
2712.4681724846,15,11103.9041752225,43,"CORIVA","65 to 150","Both","POTS diagnosis"
26683.9808350445,467,75432.076659822,1402,"CORIVA","0 to 150","Both","POTS symptoms"
14324.6762491444,315,40229.6947296372,938,"CORIVA","0 to 150","Female","POTS symptoms"
12359.3045859001,152,35202.3819301848,464,"CORIVA","0 to 150","Male","POTS symptoms"
NA,NA,1912.80219028063,9,"CORIVA","0 to 6","Both","POTS symptoms"
2632.09582477755,37,5856.18069815195,96,"CORIVA","12 to 18","Both","POTS symptoms"
9732.8076659822,196,26939.1923340178,524,"CORIVA","19 to 40","Both","POTS symptoms"
8464.33127994524,163,25736.3449691992,472,"CORIVA","41 to 64","Both","POTS symptoms"
2695.33744010951,62,11030.1546885695,267,"CORIVA","65 to 150","Both","POTS symptoms"
NA,NA,2879.43326488706,22,"CORIVA","7 to 11","Both","POTS symptoms"
26838.1629021218,25,75862.3983572895,94,"CORIVA","0 to 150","Both","RA"
14426.417522245,19,40519.1676933607,65,"CORIVA","0 to 150","Female","RA"
12411.7453798768,6,35343.2306639288,29,"CORIVA","0 to 150","Male","RA"
NA,NA,27106.2203969884,15,"CORIVA","19 to 40","Both","RA"
8517.07597535934,15,25880.8843258042,48,"CORIVA","41 to 64","Both","RA"
2713.8945927447,6,11108.1122518823,31,"CORIVA","65 to 150","Both","RA"
NA,NA,75891.9890485968,7,"CORIVA","0 to 150","Both","SLE"
NA,NA,40537.7960301164,6,"CORIVA","0 to 150","Female","SLE"
NA,NA,25893.3607118412,5,"CORIVA","41 to 64","Both","SLE"
26843.9206023272,8,75887.4058863792,23,"CORIVA","0 to 150","Both","T2DM"
NA,NA,40537.2594113621,9,"CORIVA","0 to 150","Female","T2DM"
12411.0636550308,5,35350.1464750171,14,"CORIVA","0 to 150","Male","T2DM"
NA,NA,27111.1457905544,5,"CORIVA","19 to 40","Both","T2DM"
NA,NA,25892.4298425736,8,"CORIVA","41 to 64","Both","T2DM"
NA,NA,11117.8809034908,5,"CORIVA","65 to 150","Both","T2DM"
