"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
NA,NA,20795.6851471595,6,"AUSOM","0 to 150","Both","IBD"
NA,NA,9718.80082135524,5,"AUSOM","0 to 150","Male","IBD"
NA,NA,20796.4325804244,7,"AUSOM","0 to 150","Both","ME/CFS diagnosis"
NA,NA,11076.0301163587,6,"AUSOM","0 to 150","Female","ME/CFS diagnosis"
NA,NA,8555.00616016427,6,"AUSOM","41 to 64","Both","ME/CFS diagnosis"
NA,NA,20772.7474332649,68,"AUSOM","0 to 150","Both","ME/CFS symptoms"
NA,NA,11061.2566735113,45,"AUSOM","0 to 150","Female","ME/CFS symptoms"
NA,NA,9711.49075975359,23,"AUSOM","0 to 150","Male","ME/CFS symptoms"
NA,NA,3932.12320328542,25,"AUSOM","19 to 40","Both","ME/CFS symptoms"
NA,NA,8545.77960301164,26,"AUSOM","41 to 64","Both","ME/CFS symptoms"
NA,NA,6556.77207392197,14,"AUSOM","65 to 150","Both","ME/CFS symptoms"
NA,NA,20794.5489390828,13,"AUSOM","0 to 150","Both","POTS diagnosis"
NA,NA,9718.68309377139,9,"AUSOM","0 to 150","Male","POTS diagnosis"
NA,NA,8553.90828199863,7,"AUSOM","41 to 64","Both","POTS diagnosis"
NA,NA,6561.58795345654,6,"AUSOM","65 to 150","Both","POTS diagnosis"
319.192334017796,6,NA,NA,"AUSOM","0 to 150","Both","POTS symptoms"
NA,NA,20731.2306639288,189,"AUSOM","0 to 150","Both","POTS symptoms"
NA,NA,11040.2299794661,108,"AUSOM","0 to 150","Female","POTS symptoms"
NA,NA,9691.0006844627,81,"AUSOM","0 to 150","Male","POTS symptoms"
NA,NA,474.168377823409,6,"AUSOM","12 to 18","Both","POTS symptoms"
NA,NA,3925.59342915811,34,"AUSOM","19 to 40","Both","POTS symptoms"
NA,NA,8526.24777549623,86,"AUSOM","41 to 64","Both","POTS symptoms"
NA,NA,6545.02943189596,56,"AUSOM","65 to 150","Both","POTS symptoms"
NA,NA,20786.2532511978,24,"AUSOM","0 to 150","Both","RA"
NA,NA,11072.1916495551,12,"AUSOM","0 to 150","Female","RA"
NA,NA,9714.06160164271,12,"AUSOM","0 to 150","Male","RA"
NA,NA,8549.96851471595,12,"AUSOM","41 to 64","Both","RA"
NA,NA,6558.86105407255,9,"AUSOM","65 to 150","Both","RA"
NA,NA,20793.9712525667,8,"AUSOM","0 to 150","Both","SLE"
NA,NA,11073.568788501,7,"AUSOM","0 to 150","Female","SLE"
NA,NA,8553.72758384668,5,"AUSOM","41 to 64","Both","SLE"
NA,NA,20795.1978097194,7,"AUSOM","0 to 150","Both","T2DM"
