"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
NA,NA,49179.6276522929,24,"eDOL_CHUM","0 to 150","Both","IBD"
NA,NA,27530.8802190281,10,"eDOL_CHUM","0 to 150","Female","IBD"
NA,NA,21648.7474332649,14,"eDOL_CHUM","0 to 150","Male","IBD"
NA,NA,17176.629705681,6,"eDOL_CHUM","19 to 40","Both","IBD"
NA,NA,13146.2340862423,10,"eDOL_CHUM","41 to 64","Both","IBD"
NA,NA,12778.1574264203,8,"eDOL_CHUM","65 to 150","Both","IBD"
NA,NA,49188.887063655,5,"eDOL_CHUM","0 to 150","Both","ME/CFS diagnosis"
NA,NA,49170.9075975359,60,"eDOL_CHUM","0 to 150","Both","ME/CFS symptoms"
NA,NA,27530.6173853525,22,"eDOL_CHUM","0 to 150","Female","ME/CFS symptoms"
NA,NA,21640.2902121834,38,"eDOL_CHUM","0 to 150","Male","ME/CFS symptoms"
NA,NA,17176.4873374401,8,"eDOL_CHUM","19 to 40","Both","ME/CFS symptoms"
NA,NA,13145.4099931554,17,"eDOL_CHUM","41 to 64","Both","ME/CFS symptoms"
NA,NA,12771.5400410678,32,"eDOL_CHUM","65 to 150","Both","ME/CFS symptoms"
3938.71868583162,8,49168.4024640657,58,"eDOL_CHUM","0 to 150","Both","POTS diagnosis"
NA,NA,27527.0362765229,26,"eDOL_CHUM","0 to 150","Female","POTS diagnosis"
1710.11909650924,6,21641.3661875428,32,"eDOL_CHUM","0 to 150","Male","POTS diagnosis"
NA,NA,17177.1389459274,7,"eDOL_CHUM","19 to 40","Both","POTS diagnosis"
NA,NA,13143.9014373717,17,"eDOL_CHUM","41 to 64","Both","POTS diagnosis"
1240.2984257358,7,12770.5516769336,30,"eDOL_CHUM","65 to 150","Both","POTS diagnosis"
3936.69815195072,13,49138.5653661875,145,"eDOL_CHUM","0 to 150","Both","POTS symptoms"
NA,NA,27512.4325804244,69,"eDOL_CHUM","0 to 150","Female","POTS symptoms"
1708.9363449692,9,21626.1327857632,76,"eDOL_CHUM","0 to 150","Male","POTS symptoms"
NA,NA,17173.5660506502,16,"eDOL_CHUM","19 to 40","Both","POTS symptoms"
NA,NA,13138.6447638604,35,"eDOL_CHUM","41 to 64","Both","POTS symptoms"
1238.59822039699,11,12751.2443531828,88,"eDOL_CHUM","65 to 150","Both","POTS symptoms"
NA,NA,49184.257357974,17,"eDOL_CHUM","0 to 150","Both","RA"
NA,NA,27532.2628336756,8,"eDOL_CHUM","0 to 150","Female","RA"
NA,NA,21651.9945242984,9,"eDOL_CHUM","0 to 150","Male","RA"
NA,NA,12776.681724846,11,"eDOL_CHUM","65 to 150","Both","RA"
NA,NA,49188.3942505133,5,"eDOL_CHUM","0 to 150","Both","SLE"
NA,NA,27533.6865160849,5,"eDOL_CHUM","0 to 150","Female","SLE"
NA,NA,49179.9753593429,27,"eDOL_CHUM","0 to 150","Both","T2DM"
NA,NA,27530.3080082136,12,"eDOL_CHUM","0 to 150","Female","T2DM"
NA,NA,21649.6673511294,15,"eDOL_CHUM","0 to 150","Male","T2DM"
NA,NA,17177.5085557837,5,"eDOL_CHUM","19 to 40","Both","T2DM"
NA,NA,12775.8631074606,17,"eDOL_CHUM","65 to 150","Both","T2DM"
