"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
147246.858316222,55,364968.651608487,204,"CPRDGOLD","0 to 150","Both","IBD"
79645.8316221766,33,203377.119780972,110,"CPRDGOLD","0 to 150","Female","IBD"
67601.0266940452,22,161591.531827515,94,"CPRDGOLD","0 to 150","Male","IBD"
15590.302532512,6,26160.0027378508,14,"CPRDGOLD","12 to 18","Both","IBD"
49728.3422313484,26,113618.360027379,87,"CPRDGOLD","19 to 40","Both","IBD"
49465.7002053388,15,121957.065023956,70,"CPRDGOLD","41 to 64","Both","IBD"
13576.5639972621,5,44786.1984941821,22,"CPRDGOLD","65 to 150","Both","IBD"
147238.094455852,76,365008.815879535,93,"CPRDGOLD","0 to 150","Both","ME/CFS diagnosis"
79638.0506502396,51,203395.107460643,64,"CPRDGOLD","0 to 150","Female","ME/CFS diagnosis"
67600.0438056126,25,161613.708418891,29,"CPRDGOLD","0 to 150","Male","ME/CFS diagnosis"
15589.787816564,6,26161.1854893908,8,"CPRDGOLD","12 to 18","Both","ME/CFS diagnosis"
49730.5133470226,23,113634.814510609,34,"CPRDGOLD","19 to 40","Both","ME/CFS diagnosis"
49454.3189596167,43,121970.576317591,40,"CPRDGOLD","41 to 64","Both","ME/CFS diagnosis"
NA,NA,44792.4188911704,8,"CPRDGOLD","65 to 150","Both","ME/CFS diagnosis"
146934.590006845,1182,364087.893223819,3040,"CPRDGOLD","0 to 150","Both","ME/CFS symptoms"
79435.5674195756,790,202752.66255989,2127,"CPRDGOLD","0 to 150","Female","ME/CFS symptoms"
67499.022587269,392,161335.230663929,913,"CPRDGOLD","0 to 150","Male","ME/CFS symptoms"
5420.01095140315,31,30395.8494182067,172,"CPRDGOLD","0 to 6","Both","ME/CFS symptoms"
15566.9952087611,107,26102.6721423682,202,"CPRDGOLD","12 to 18","Both","ME/CFS symptoms"
49606.1327857632,470,113274.321697467,1143,"CPRDGOLD","19 to 40","Both","ME/CFS symptoms"
49349.9329226557,406,121680.156057495,963,"CPRDGOLD","41 to 64","Both","ME/CFS symptoms"
13546.417522245,113,44663.9561943874,445,"CPRDGOLD","65 to 150","Both","ME/CFS symptoms"
10638.3107460643,39,21363.5701574264,64,"CPRDGOLD","7 to 11","Both","ME/CFS symptoms"
147234.409308693,112,364942.721423682,300,"CPRDGOLD","0 to 150","Both","POTS diagnosis"
79636.772073922,69,203351.430527036,208,"CPRDGOLD","0 to 150","Female","POTS diagnosis"
67597.6372347707,43,161591.290896646,92,"CPRDGOLD","0 to 150","Male","POTS diagnosis"
NA,NA,30444.4517453799,6,"CPRDGOLD","0 to 6","Both","POTS diagnosis"
15589.5386721424,8,26159.5455167693,12,"CPRDGOLD","12 to 18","Both","POTS diagnosis"
49728.4106776181,37,113617.938398357,99,"CPRDGOLD","19 to 40","Both","POTS diagnosis"
49458.3709787817,43,121947.134839151,111,"CPRDGOLD","41 to 64","Both","POTS diagnosis"
13571.9260780287,20,44772.1505817933,66,"CPRDGOLD","65 to 150","Both","POTS diagnosis"
146832.301163587,1552,363762.81724846,4043,"CPRDGOLD","0 to 150","Both","POTS symptoms"
79385.4182067077,995,202568.273785079,2653,"CPRDGOLD","0 to 150","Female","POTS symptoms"
67446.8829568788,557,161194.543463381,1390,"CPRDGOLD","0 to 150","Male","POTS symptoms"
5425.86995208761,14,30429.3360711841,64,"CPRDGOLD","0 to 6","Both","POTS symptoms"
15550.4887063655,178,26074.0670773443,291,"CPRDGOLD","12 to 18","Both","POTS symptoms"
49591.5865845311,533,113201.180013689,1402,"CPRDGOLD","19 to 40","Both","POTS symptoms"
49309.4483230664,544,121523.356605065,1450,"CPRDGOLD","41 to 64","Both","POTS symptoms"
13520.2518822724,200,44578.6064339494,689,"CPRDGOLD","65 to 150","Both","POTS symptoms"
10633.3388090349,54,21354.3764544832,89,"CPRDGOLD","7 to 11","Both","POTS symptoms"
147254.6091718,40,364997.593429158,123,"CPRDGOLD","0 to 150","Both","RA"
79647.4277891855,33,203388.596851472,88,"CPRDGOLD","0 to 150","Female","RA"
67607.1813826147,7,161608.996577687,35,"CPRDGOLD","0 to 150","Male","RA"
49734.5626283368,10,113637.875427789,23,"CPRDGOLD","19 to 40","Both","RA"
49463.6687200548,21,121965.582477755,56,"CPRDGOLD","41 to 64","Both","RA"
13577.620807666,7,44780.5612594114,42,"CPRDGOLD","65 to 150","Both","RA"
NA,NA,365032.744695414,15,"CPRDGOLD","0 to 150","Both","SLE"
NA,NA,203411.342915811,13,"CPRDGOLD","0 to 150","Female","SLE"
NA,NA,113644.202600958,5,"CPRDGOLD","19 to 40","Both","SLE"
NA,NA,121982.223134839,7,"CPRDGOLD","41 to 64","Both","SLE"
147259.457905544,26,365002.81724846,104,"CPRDGOLD","0 to 150","Both","T2DM"
79654.0013689254,11,203400.369609856,50,"CPRDGOLD","0 to 150","Female","T2DM"
67605.4565366188,15,161602.447638604,54,"CPRDGOLD","0 to 150","Male","T2DM"
NA,NA,30441.4346338125,11,"CPRDGOLD","0 to 6","Both","T2DM"
NA,NA,26158.5872689938,16,"CPRDGOLD","12 to 18","Both","T2DM"
49736.5503080082,6,113637.472963723,28,"CPRDGOLD","19 to 40","Both","T2DM"
49468.5311430527,7,121974.88843258,27,"CPRDGOLD","41 to 64","Both","T2DM"
NA,NA,44790.8637919233,9,"CPRDGOLD","65 to 150","Both","T2DM"
10643.8603696099,9,21377.1772758385,12,"CPRDGOLD","7 to 11","Both","T2DM"
