"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
NA,NA,16399.5783709788,17,"IMASIS","0 to 150","Both","IBD"
NA,NA,9027.14031485284,8,"IMASIS","0 to 150","Female","IBD"
NA,NA,7372.43805612594,9,"IMASIS","0 to 150","Male","IBD"
NA,NA,3068.73648186174,5,"IMASIS","19 to 40","Both","IBD"
NA,NA,5483.15126625599,5,"IMASIS","41 to 64","Both","IBD"
NA,NA,6804.60780287474,7,"IMASIS","65 to 150","Both","IBD"
7746.212183436,7,16403.3538672142,7,"IMASIS","0 to 150","Both","ME/CFS diagnosis"
NA,NA,9029.10061601643,5,"IMASIS","0 to 150","Female","ME/CFS diagnosis"
3064.36960985626,6,5483.97535934292,5,"IMASIS","41 to 64","Both","ME/CFS diagnosis"
7729.16358658453,94,16346.431211499,261,"IMASIS","0 to 150","Both","ME/CFS symptoms"
4054.96509240246,45,8998.71868583162,135,"IMASIS","0 to 150","Female","ME/CFS symptoms"
3674.19849418207,49,7347.71252566735,126,"IMASIS","0 to 150","Male","ME/CFS symptoms"
1325.02669404517,7,3062.66940451745,33,"IMASIS","19 to 40","Both","ME/CFS symptoms"
3058.39835728953,33,5467.10472279261,70,"IMASIS","41 to 64","Both","ME/CFS symptoms"
2926.62833675565,54,6773.71663244353,155,"IMASIS","65 to 150","Both","ME/CFS symptoms"
7743.10198494182,23,16392.3093771389,46,"IMASIS","0 to 150","Both","POTS diagnosis"
4063.29911019849,14,9022.49965776865,24,"IMASIS","0 to 150","Female","POTS diagnosis"
3679.80287474333,9,7369.80971937029,22,"IMASIS","0 to 150","Male","POTS diagnosis"
NA,NA,3067.47707049966,9,"IMASIS","19 to 40","Both","POTS diagnosis"
3063.8302532512,9,5481.34428473648,12,"IMASIS","41 to 64","Both","POTS diagnosis"
2933.39356605065,12,6800.4052019165,25,"IMASIS","65 to 150","Both","POTS diagnosis"
7723.91786447639,95,16357.4291581109,181,"IMASIS","0 to 150","Both","POTS symptoms"
4050.28062970568,58,9002.67214236824,99,"IMASIS","0 to 150","Female","POTS symptoms"
3673.63723477071,37,7354.75701574264,82,"IMASIS","0 to 150","Male","POTS symptoms"
1324.62149212868,9,3062.35181382615,30,"IMASIS","19 to 40","Both","POTS symptoms"
3054.33538672142,45,5471.17864476386,51,"IMASIS","41 to 64","Both","POTS symptoms"
2926.50239561944,36,6781.81793292266,95,"IMASIS","65 to 150","Both","POTS symptoms"
7745.1498973306,7,16402.12183436,9,"IMASIS","0 to 150","Both","RA"
4064.74743326489,5,NA,NA,"IMASIS","0 to 150","Female","RA"
NA,NA,7372.84599589322,5,"IMASIS","0 to 150","Male","RA"
2934.43394934976,5,6805.0212183436,5,"IMASIS","65 to 150","Both","RA"
NA,NA,16402.7186858316,9,"IMASIS","0 to 150","Both","T2DM"
NA,NA,7373.61533196441,5,"IMASIS","0 to 150","Male","T2DM"
NA,NA,5483.88774811773,5,"IMASIS","41 to 64","Both","T2DM"
