"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
114135.926078029,54,NA,NA,"IPCI","0 to 150","Both","IBD"
60802.0780287474,34,NA,NA,"IPCI","0 to 150","Female","IBD"
53333.8480492813,20,NA,NA,"IPCI","0 to 150","Male","IBD"
12812.5311430527,6,NA,NA,"IPCI","12 to 18","Both","IBD"
35595.832991102,20,NA,NA,"IPCI","19 to 40","Both","IBD"
40610.5653661875,24,NA,NA,"IPCI","41 to 64","Both","IBD"
114150.81724846,13,NA,NA,"IPCI","0 to 150","Both","ME/CFS diagnosis"
60810.0780287474,10,NA,NA,"IPCI","0 to 150","Female","ME/CFS diagnosis"
35602.6283367556,5,NA,NA,"IPCI","19 to 40","Both","ME/CFS diagnosis"
40615.7618069815,7,NA,NA,"IPCI","41 to 64","Both","ME/CFS diagnosis"
113154.562628337,2933,945.067761806981,30,"IPCI","0 to 150","Both","ME/CFS symptoms"
60167.8302532512,1899,583.019849418207,20,"IPCI","0 to 150","Female","ME/CFS symptoms"
52986.7323750856,1034,NA,NA,"IPCI","0 to 150","Male","ME/CFS symptoms"
NA,NA,362.047912388775,10,"IPCI","0 to 150","Male","ME/CFS symptoms"
2888.06844626968,43,NA,NA,"IPCI","0 to 6","Both","ME/CFS symptoms"
12684.1615331964,417,NA,NA,"IPCI","12 to 18","Both","ME/CFS symptoms"
35239.4305270363,1068,NA,NA,"IPCI","19 to 40","Both","ME/CFS symptoms"
40274.8473648186,962,NA,NA,"IPCI","41 to 64","Both","ME/CFS symptoms"
NA,NA,318.798083504449,7,"IPCI","41 to 64","Both","ME/CFS symptoms"
12834.5270362765,305,363.496235455168,17,"IPCI","65 to 150","Both","ME/CFS symptoms"
6600.5749486653,77,NA,NA,"IPCI","7 to 11","Both","ME/CFS symptoms"
114126.412046543,81,NA,NA,"IPCI","0 to 150","Both","POTS diagnosis"
60796.1478439425,53,NA,NA,"IPCI","0 to 150","Female","POTS diagnosis"
53330.264202601,28,NA,NA,"IPCI","0 to 150","Male","POTS diagnosis"
35597.0403832991,20,NA,NA,"IPCI","19 to 40","Both","POTS diagnosis"
40605.6290212183,35,NA,NA,"IPCI","41 to 64","Both","POTS diagnosis"
12923.523613963,18,NA,NA,"IPCI","65 to 150","Both","POTS diagnosis"
112692.648870637,4309,943.466119096509,34,"IPCI","0 to 150","Both","POTS symptoms"
59899.9863107461,2699,582.524298425736,23,"IPCI","0 to 150","Female","POTS symptoms"
52792.6625598905,1610,NA,NA,"IPCI","0 to 150","Male","POTS symptoms"
NA,NA,360.941820670773,11,"IPCI","0 to 150","Male","POTS symptoms"
2884.86242299795,53,NA,NA,"IPCI","0 to 6","Both","POTS symptoms"
12616.8323066393,599,NA,NA,"IPCI","12 to 18","Both","POTS symptoms"
35113.9192334018,1421,NA,NA,"IPCI","19 to 40","Both","POTS symptoms"
NA,NA,172.624229979466,6,"IPCI","19 to 40","Both","POTS symptoms"
40116.4490075291,1466,NA,NA,"IPCI","41 to 64","Both","POTS symptoms"
NA,NA,319.033538672142,8,"IPCI","41 to 64","Both","POTS symptoms"
12758.765229295,549,362.888432580424,17,"IPCI","65 to 150","Both","POTS symptoms"
6583.8302532512,131,NA,NA,"IPCI","7 to 11","Both","POTS symptoms"
114130.614647502,65,NA,NA,"IPCI","0 to 150","Both","RA"
60800.7446954141,36,NA,NA,"IPCI","0 to 150","Female","RA"
53329.8699520876,29,NA,NA,"IPCI","0 to 150","Male","RA"
35597.9685147159,13,NA,NA,"IPCI","19 to 40","Both","RA"
40606.4914442163,35,NA,NA,"IPCI","41 to 64","Both","RA"
12923.3210130048,17,NA,NA,"IPCI","65 to 150","Both","RA"
114149.80698152,17,NA,NA,"IPCI","0 to 150","Both","T2DM"
60812.334017796,8,NA,NA,"IPCI","0 to 150","Female","T2DM"
53337.4729637235,9,NA,NA,"IPCI","0 to 150","Male","T2DM"
35600.9911019849,8,NA,NA,"IPCI","19 to 40","Both","T2DM"
