"py_exposed","event_exposed","py_unexposed","event_unexposed","database","age","sex","outcome"
104516.010951403,147,NA,NA,"Pharmetrics","0 to 150","Both","IBD"
54662.0369609856,83,NA,NA,"Pharmetrics","0 to 150","Female","IBD"
49853.9739904175,64,NA,NA,"Pharmetrics","0 to 150","Male","IBD"
7182.81451060917,6,NA,NA,"Pharmetrics","12 to 18","Both","IBD"
32191.7891854894,34,NA,NA,"Pharmetrics","19 to 40","Both","IBD"
40595.5482546201,66,NA,NA,"Pharmetrics","41 to 64","Both","IBD"
18200.8706365503,40,NA,NA,"Pharmetrics","65 to 150","Both","IBD"
104559.091033539,5,NA,NA,"Pharmetrics","0 to 150","Both","Juvenile arthritis"
104296.821355236,803,NA,NA,"Pharmetrics","0 to 150","Both","ME/CFS diagnosis"
54503.6440793977,560,NA,NA,"Pharmetrics","0 to 150","Female","ME/CFS diagnosis"
49793.1772758385,243,NA,NA,"Pharmetrics","0 to 150","Male","ME/CFS diagnosis"
7178.07255304586,23,NA,NA,"Pharmetrics","12 to 18","Both","ME/CFS diagnosis"
32125.620807666,216,NA,NA,"Pharmetrics","19 to 40","Both","ME/CFS diagnosis"
40499.1238877481,362,NA,NA,"Pharmetrics","41 to 64","Both","ME/CFS diagnosis"
18152.1697467488,191,NA,NA,"Pharmetrics","65 to 150","Both","ME/CFS diagnosis"
102882.95687885,5340,NA,NA,"Pharmetrics","0 to 150","Both","ME/CFS symptoms"
53646.0616016427,3263,NA,NA,"Pharmetrics","0 to 150","Female","ME/CFS symptoms"
49236.8952772074,2077,NA,NA,"Pharmetrics","0 to 150","Male","ME/CFS symptoms"
2213.65092402464,45,NA,NA,"Pharmetrics","0 to 6","Both","ME/CFS symptoms"
7096.61327857632,305,NA,NA,"Pharmetrics","12 to 18","Both","ME/CFS symptoms"
31705.8316221766,1594,NA,NA,"Pharmetrics","19 to 40","Both","ME/CFS symptoms"
39926.726899384,2164,NA,NA,"Pharmetrics","41 to 64","Both","ME/CFS symptoms"
17853.3278576318,1119,NA,NA,"Pharmetrics","65 to 150","Both","ME/CFS symptoms"
2847.59206023272,60,NA,NA,"Pharmetrics","7 to 11","Both","ME/CFS symptoms"
104124.399726215,1406,NA,NA,"Pharmetrics","0 to 150","Both","POTS diagnosis"
54402.765229295,900,NA,NA,"Pharmetrics","0 to 150","Female","POTS diagnosis"
49721.6344969199,506,NA,NA,"Pharmetrics","0 to 150","Male","POTS diagnosis"
2219.95345653662,16,NA,NA,"Pharmetrics","0 to 6","Both","POTS diagnosis"
7172.46543463381,42,NA,NA,"Pharmetrics","12 to 18","Both","POTS diagnosis"
32082.6940451745,387,NA,NA,"Pharmetrics","19 to 40","Both","POTS diagnosis"
40449.2320328542,520,NA,NA,"Pharmetrics","41 to 64","Both","POTS diagnosis"
18084.3449691992,421,NA,NA,"Pharmetrics","65 to 150","Both","POTS diagnosis"
2860.20533880903,9,NA,NA,"Pharmetrics","7 to 11","Both","POTS diagnosis"
102554.05338809,6309,NA,NA,"Pharmetrics","0 to 150","Both","POTS symptoms"
53461.440109514,3816,NA,NA,"Pharmetrics","0 to 150","Female","POTS symptoms"
49092.6132785763,2493,NA,NA,"Pharmetrics","0 to 150","Male","POTS symptoms"
2209.99589322382,59,NA,NA,"Pharmetrics","0 to 6","Both","POTS symptoms"
7075.5099247091,361,NA,NA,"Pharmetrics","12 to 18","Both","POTS symptoms"
31587.3620807666,2011,NA,NA,"Pharmetrics","19 to 40","Both","POTS symptoms"
39786.1902806297,2561,NA,NA,"Pharmetrics","41 to 64","Both","POTS symptoms"
17814.7515400411,1178,NA,NA,"Pharmetrics","65 to 150","Both","POTS symptoms"
2847.66872005476,65,NA,NA,"Pharmetrics","7 to 11","Both","POTS symptoms"
104504.865160849,164,NA,NA,"Pharmetrics","0 to 150","Both","RA"
54646.9514031485,118,NA,NA,"Pharmetrics","0 to 150","Female","RA"
49857.9137577002,46,NA,NA,"Pharmetrics","0 to 150","Male","RA"
32193.311430527,19,NA,NA,"Pharmetrics","19 to 40","Both","RA"
40591.0417522245,80,NA,NA,"Pharmetrics","41 to 64","Both","RA"
18191.8548939083,64,NA,NA,"Pharmetrics","65 to 150","Both","RA"
104551.400410678,26,NA,NA,"Pharmetrics","0 to 150","Both","SLE"
54678.2395619439,23,NA,NA,"Pharmetrics","0 to 150","Female","SLE"
32198.6830937714,7,NA,NA,"Pharmetrics","19 to 40","Both","SLE"
40612.2108145106,10,NA,NA,"Pharmetrics","41 to 64","Both","SLE"
18210.9568788501,8,NA,NA,"Pharmetrics","65 to 150","Both","SLE"
104538.212183436,70,NA,NA,"Pharmetrics","0 to 150","Both","T2DM"
54674.0369609856,38,NA,NA,"Pharmetrics","0 to 150","Female","T2DM"
49864.1752224504,32,NA,NA,"Pharmetrics","0 to 150","Male","T2DM"
32196.8952772074,9,NA,NA,"Pharmetrics","19 to 40","Both","T2DM"
40604.8514715948,35,NA,NA,"Pharmetrics","41 to 64","Both","T2DM"
18207.6386036961,23,NA,NA,"Pharmetrics","65 to 150","Both","T2DM"
