"database","n_events","person_years","year_index","outcome"
"CORIVA",72,144929.029431896,2020,"IBD"
"CORIVA",202,432388.101300479,2021,"IBD"
"CORIVA",188,409737.84257358,2022,"IBD"
"CORIVA",15,145195.485284052,2020,"Juvenile arthritis"
"CORIVA",42,433281.817932923,2021,"Juvenile arthritis"
"CORIVA",36,410715.071868583,2022,"Juvenile arthritis"
"CORIVA",37,145216.298425736,2020,"ME/CFS diagnosis"
"CORIVA",315,433182.346338125,2021,"ME/CFS diagnosis"
"CORIVA",310,410358.496919918,2022,"ME/CFS diagnosis"
"CORIVA",1452,139968.955509925,2020,"ME/CFS symptoms"
"CORIVA",4715,414708.353182752,2021,"ME/CFS symptoms"
"CORIVA",4412,388881.062286105,2022,"ME/CFS symptoms"
"CORIVA",20,433778.943189596,2021,"MIS"
"CORIVA",141,411180.585900068,2022,"MIS"
"CORIVA",448,143671.277207392,2020,"POTS diagnosis"
"CORIVA",1289,427954.600958248,2021,"POTS diagnosis"
"CORIVA",1142,404596.602327173,2022,"POTS diagnosis"
"CORIVA",2341,136300.484599589,2020,"POTS symptoms"
"CORIVA",7116,402245.245722108,2021,"POTS symptoms"
"CORIVA",6433,375075.843942505,2022,"POTS symptoms"
"CORIVA",166,143972.840520192,2020,"RA"
"CORIVA",426,429464.24366872,2021,"RA"
"CORIVA",370,406829.979466119,2022,"RA"
"CORIVA",14,145286.579055441,2020,"SLE"
"CORIVA",22,433566.272416153,2021,"SLE"
"CORIVA",16,411014.310746064,2022,"SLE"
"CORIVA",55,144584.635181383,2020,"T2DM"
"CORIVA",180,431424.783025325,2021,"T2DM"
"CORIVA",158,408907.641341547,2022,"T2DM"
