"database","n_events","person_years","year_index","outcome"
"CPRDGOLD",383,1067818.88843258,2020,"IBD"
"CPRDGOLD",1270,2989601.66461328,2021,"IBD"
"CPRDGOLD",424,1238784.26009582,2022,"IBD"
"CPRDGOLD",6,1074312.1779603,2020,"Juvenile arthritis"
"CPRDGOLD",22,3008294.32169747,2021,"Juvenile arthritis"
"CPRDGOLD",7,1246695.10472279,2022,"Juvenile arthritis"
"CPRDGOLD",203,1071538.54346338,2020,"ME/CFS diagnosis"
"CPRDGOLD",552,3000296.35865845,2021,"ME/CFS diagnosis"
"CPRDGOLD",238,1243300.81861739,2022,"ME/CFS diagnosis"
"CPRDGOLD",4718,915770.332648871,2020,"ME/CFS symptoms"
"CPRDGOLD",16385,2570129.53867214,2021,"ME/CFS symptoms"
"CPRDGOLD",7886,1067128.93908282,2022,"ME/CFS symptoms"
"CPRDGOLD",622,1066933.51129363,2020,"POTS diagnosis"
"CPRDGOLD",1940,2986910.05065024,2021,"POTS diagnosis"
"CPRDGOLD",815,1237554.48870637,2022,"POTS diagnosis"
"CPRDGOLD",384,1068685.31143053,2020,"RA"
"CPRDGOLD",1067,2992227.45242984,2021,"RA"
"CPRDGOLD",444,1239891.34565366,2022,"RA"
"CPRDGOLD",7648,857089.941136208,2020,"POTS symptoms"
"CPRDGOLD",25256,2403701.14989733,2021,"POTS symptoms"
"CPRDGOLD",11948,998118.590006845,2022,"POTS symptoms"
"CPRDGOLD",41,1073692.13689254,2020,"SLE"
"CPRDGOLD",90,3006528.74743326,2021,"SLE"
"CPRDGOLD",20,1245973.25393566,2022,"SLE"
"CPRDGOLD",237,1070401.79876797,2020,"T2DM"
"CPRDGOLD",783,2997040.02190281,2021,"T2DM"
"CPRDGOLD",218,1241906.70499658,2022,"T2DM"
