"database","n_events","person_years","year_index","outcome"
"IMASIS",43,49160.4161533196,2020,"IBD"
"IMASIS",105,130970.455852156,2021,"IBD"
"IMASIS",100,74763.5947980835,2022,"IBD"
"IMASIS",5,49377.735797399,2020,"ME/CFS diagnosis"
"IMASIS",42,131634.81724846,2021,"ME/CFS diagnosis"
"IMASIS",60,75307.2881587953,2022,"ME/CFS diagnosis"
"IMASIS",316,47347.0554414784,2020,"ME/CFS symptoms"
"IMASIS",1087,125760.301163587,2021,"ME/CFS symptoms"
"IMASIS",1142,71065.954825462,2022,"ME/CFS symptoms"
"IMASIS",111,49018.8637919233,2020,"POTS diagnosis"
"IMASIS",296,130550.661190965,2021,"POTS diagnosis"
"IMASIS",273,74530.7296372348,2022,"POTS diagnosis"
"IMASIS",18,49168.93908282,2020,"RA"
"IMASIS",76,131027.030800821,2021,"RA"
"IMASIS",86,74848.4928131417,2022,"RA"
"IMASIS",256,47212.3750855578,2020,"POTS symptoms"
"IMASIS",890,125531.775496235,2021,"POTS symptoms"
"IMASIS",1002,71156.9363449692,2022,"POTS symptoms"
"IMASIS",15,49285.7467488022,2020,"SLE"
"IMASIS",50,131342.477754962,2021,"SLE"
"IMASIS",40,75081.1745379877,2022,"SLE"
"IMASIS",31,49263.5044490075,2020,"T2DM"
"IMASIS",128,131239.244353183,2021,"T2DM"
"IMASIS",61,74937.0212183436,2022,"T2DM"
