"database","n_events","person_years","year_index","outcome"
"IPCI",224,405429.2183436,2020,"IBD"
"IPCI",799,1228597.85900068,2021,"IBD"
"IPCI",597,1106978.61190965,2022,"IBD"
"IPCI",10,407827.312799452,2020,"Juvenile arthritis"
"IPCI",18,1235939.50718686,2021,"Juvenile arthritis"
"IPCI",19,1113483.17590691,2022,"Juvenile arthritis"
"IPCI",44,407236.59137577,2020,"ME/CFS diagnosis"
"IPCI",194,1234243.06365503,2021,"ME/CFS diagnosis"
"IPCI",195,1111921.64544832,2022,"ME/CFS diagnosis"
"IPCI",7380,336836.999315537,2020,"ME/CFS symptoms"
"IPCI",25238,1020193.04312115,2021,"ME/CFS symptoms"
"IPCI",25249,916950.576317591,2022,"ME/CFS symptoms"
"IPCI",380,405244.114989733,2020,"POTS diagnosis"
"IPCI",1004,1228021.0568104,2021,"POTS diagnosis"
"IPCI",816,1106455.85763176,2022,"POTS diagnosis"
"IPCI",273,404485.973990418,2020,"RA"
"IPCI",993,1225834.29705681,2021,"RA"
"IPCI",736,1104957.72210815,2022,"RA"
"IPCI",12127,295803.556468172,2020,"POTS symptoms"
"IPCI",39732,894648.325804244,2021,"POTS symptoms"
"IPCI",38967,801735.750855578,2022,"POTS symptoms"
"IPCI",79,406987.238877481,2020,"T2DM"
"IPCI",189,1233406.58453114,2021,"T2DM"
"IPCI",158,1111560.7063655,2022,"T2DM"
