"database","age","n_events","person_years","outcome"
"AUSOM","0 to 6",20,37182.2477754962,"POTS diagnosis"
"AUSOM","7 to 11",18,42636.4325804244,"POTS diagnosis"
"AUSOM","12 to 18",55,30262.7077344285,"POTS diagnosis"
"AUSOM","19 to 40",2282,188635.93155373,"POTS symptoms"
"AUSOM","19 to 40",186,194086.439425051,"POTS diagnosis"
"AUSOM","41 to 64",332,376457.823408624,"POTS diagnosis"
"AUSOM","65 to 150",168,183261.804243669,"POTS diagnosis"
"AUSOM","19 to 40",185,193698.028747433,"RA"
"AUSOM","41 to 64",778,368425.119780972,"RA"
"AUSOM","65 to 150",264,178909.620807666,"RA"
"AUSOM","41 to 64",4316,352856.27926078,"POTS symptoms"
"AUSOM","12 to 18",16,30320.0848733744,"SLE"
"AUSOM","19 to 40",128,193594.321697468,"SLE"
"AUSOM","41 to 64",93,375674.078028747,"SLE"
"AUSOM","65 to 150",23,184110.360027379,"SLE"
"AUSOM","0 to 6",12,37205.2648870637,"T2DM"
"AUSOM","7 to 11",27,42585.954825462,"T2DM"
"AUSOM","12 to 18",43,30147.0034223135,"T2DM"
"AUSOM","19 to 40",69,193784.969199179,"T2DM"
"AUSOM","41 to 64",76,376811.767282683,"T2DM"
"AUSOM","65 to 150",2127,164181.188227242,"POTS symptoms"
"AUSOM","65 to 150",58,183776.536618754,"T2DM"
"AUSOM","0 to 6",14,37218.2039698836,"IBD"
"AUSOM","7 to 11",53,42620.476386037,"IBD"
"AUSOM","12 to 18",115,30168.7227926078,"IBD"
"AUSOM","0 to 6",145,37101.7221081451,"POTS symptoms"
"AUSOM","19 to 40",243,193135.72073922,"IBD"
"AUSOM","41 to 64",152,376487.101984942,"IBD"
"AUSOM","65 to 150",66,184065.412731006,"IBD"
"AUSOM","0 to 6",5,37229.4209445585,"Juvenile arthritis"
"AUSOM","7 to 11",5,42648.7282683094,"Juvenile arthritis"
"AUSOM","12 to 18",34,30290.0342231348,"Juvenile arthritis"
"AUSOM","0 to 6",17,37197.0403832991,"ME/CFS diagnosis"
"AUSOM","7 to 11",252,42359.6741957563,"POTS symptoms"
"AUSOM","7 to 11",5,42645.4373716632,"ME/CFS diagnosis"
"AUSOM","12 to 18",9,30327.7125256673,"ME/CFS diagnosis"
"AUSOM","19 to 40",45,194320.985626283,"ME/CFS diagnosis"
"AUSOM","41 to 64",91,377587.876796715,"ME/CFS diagnosis"
"AUSOM","65 to 150",42,184343.504449008,"ME/CFS diagnosis"
"AUSOM","0 to 6",22,37176.3559206023,"ME/CFS symptoms"
"AUSOM","7 to 11",21,42604.6242299795,"ME/CFS symptoms"
"AUSOM","12 to 18",169,30056.7173169062,"ME/CFS symptoms"
"AUSOM","19 to 40",766,192018.061601643,"ME/CFS symptoms"
"AUSOM","41 to 64",1028,368048.479123888,"ME/CFS symptoms"
"AUSOM","12 to 18",755,29441.1854893908,"POTS symptoms"
"AUSOM","65 to 150",510,178413.237508556,"ME/CFS symptoms"
"AUSOM","0 to 6",5,37229.1553730322,"MIS"
"AUSOM","7 to 11",7,42671.8110882957,"MIS"
"AUSOM","0 to 150",334,777233.45927447,"IBD"
"AUSOM","0 to 150",20,780371.947980835,"Juvenile arthritis"
"AUSOM","0 to 150",116,779815.805612594,"ME/CFS diagnosis"
"AUSOM","0 to 150",1704,762086.01779603,"ME/CFS symptoms"
"AUSOM","0 to 150",6,780684.908966461,"MIS"
"AUSOM","0 to 150",458,777371.592060233,"POTS diagnosis"
"AUSOM","0 to 150",723,765017.11156742,"RA"
"AUSOM","0 to 150",125,777063.657768652,"SLE"
"AUSOM","0 to 150",5990,729342.102669404,"POTS symptoms"
"AUSOM","0 to 150",141,777767.036276523,"T2DM"
