"database","age","n_events","person_years","outcome"
"eDOL_CHUM","65 to 150",7,1153730.39288159,"MIS"
"eDOL_CHUM","0 to 6",15,197979.274469541,"POTS diagnosis"
"eDOL_CHUM","7 to 11",8,201505.790554415,"POTS diagnosis"
"eDOL_CHUM","12 to 18",27,321133.694729637,"POTS diagnosis"
"eDOL_CHUM","19 to 40",186,1300009.84257358,"POTS symptoms"
"eDOL_CHUM","19 to 40",93,1301210.0862423,"POTS diagnosis"
"eDOL_CHUM","41 to 64",214,1254615.18685832,"POTS diagnosis"
"eDOL_CHUM","65 to 150",434,1149002.52156057,"POTS diagnosis"
"eDOL_CHUM","19 to 40",58,1301543.79466119,"RA"
"eDOL_CHUM","41 to 64",363,1252208.13415469,"RA"
"eDOL_CHUM","65 to 150",300,1146177.4017796,"RA"
"eDOL_CHUM","41 to 64",416,1252785.88364134,"POTS symptoms"
"eDOL_CHUM","19 to 40",57,1301654.46954141,"SLE"
"eDOL_CHUM","41 to 64",50,1255596.10677618,"SLE"
"eDOL_CHUM","65 to 150",12,1153401.57700205,"SLE"
"eDOL_CHUM","0 to 6",5,198124.470910335,"T2DM"
"eDOL_CHUM","7 to 11",11,201674.581793292,"T2DM"
"eDOL_CHUM","12 to 18",17,321162.715947981,"T2DM"
"eDOL_CHUM","19 to 40",63,1301201.01574264,"T2DM"
"eDOL_CHUM","41 to 64",106,1254467.83025325,"T2DM"
"eDOL_CHUM","65 to 150",1123,1143246.95140315,"POTS symptoms"
"eDOL_CHUM","65 to 150",164,1149737.5687885,"T2DM"
"eDOL_CHUM","0 to 6",6,198123.553730322,"IBD"
"eDOL_CHUM","7 to 11",19,201681.998631075,"IBD"
"eDOL_CHUM","12 to 18",60,321133.785078713,"IBD"
"eDOL_CHUM","0 to 6",22,197929.746748802,"POTS symptoms"
"eDOL_CHUM","19 to 40",219,1299597.77412731,"IBD"
"eDOL_CHUM","41 to 64",152,1253613.45106092,"IBD"
"eDOL_CHUM","65 to 150",98,1152152.17522245,"IBD"
"eDOL_CHUM","0 to 6",9,198113.401779603,"Juvenile arthritis"
"eDOL_CHUM","7 to 11",5,201637.464750171,"Juvenile arthritis"
"eDOL_CHUM","12 to 18",18,320985.94934976,"Juvenile arthritis"
"eDOL_CHUM","0 to 6",16,198067.014373717,"ME/CFS diagnosis"
"eDOL_CHUM","7 to 11",17,201384.317590691,"POTS symptoms"
"eDOL_CHUM","7 to 11",10,201631.143052704,"ME/CFS diagnosis"
"eDOL_CHUM","12 to 18",10,321186.855578371,"ME/CFS diagnosis"
"eDOL_CHUM","19 to 40",19,1301876.65708419,"ME/CFS diagnosis"
"eDOL_CHUM","41 to 64",35,1255999.42778919,"ME/CFS diagnosis"
"eDOL_CHUM","65 to 150",27,1153410.38193018,"ME/CFS diagnosis"
"eDOL_CHUM","0 to 6",90,196947.523613963,"ME/CFS symptoms"
"eDOL_CHUM","7 to 11",27,200548.317590691,"ME/CFS symptoms"
"eDOL_CHUM","12 to 18",34,320391.039014374,"ME/CFS symptoms"
"eDOL_CHUM","19 to 40",108,1300692.17522245,"ME/CFS symptoms"
"eDOL_CHUM","41 to 64",212,1254009.37713895,"ME/CFS symptoms"
"eDOL_CHUM","12 to 18",42,320820.251882272,"POTS symptoms"
"eDOL_CHUM","65 to 150",386,1149498.63928816,"ME/CFS symptoms"
"eDOL_CHUM","0 to 6",15,198132.709103354,"MIS"
"eDOL_CHUM","7 to 11",20,201740.090349076,"MIS"
"eDOL_CHUM","12 to 18",9,321339.572895277,"MIS"
"eDOL_CHUM","0 to 150",554,4426302.73785079,"IBD"
"eDOL_CHUM","0 to 150",32,4432705.79055441,"Juvenile arthritis"
"eDOL_CHUM","0 to 150",117,4432171.47980835,"ME/CFS diagnosis"
"eDOL_CHUM","0 to 150",857,4422087.07186858,"ME/CFS symptoms"
"eDOL_CHUM","0 to 150",58,4433631.20328542,"MIS"
"eDOL_CHUM","0 to 150",791,4425446.55441478,"POTS diagnosis"
"eDOL_CHUM","0 to 150",722,4421191.77002053,"RA"
"eDOL_CHUM","0 to 150",121,4431889.34428474,"SLE"
"eDOL_CHUM","0 to 150",1806,4416176.99383984,"POTS symptoms"
"eDOL_CHUM","0 to 150",366,4426368.183436,"T2DM"
