"database","age","n_events","person_years","outcome"
"CORIVA","19 to 40",8,304339.422313484,"MIS"
"CORIVA","41 to 64",38,332907.559206023,"MIS"
"CORIVA","65 to 150",107,184650.368240931,"MIS"
"CORIVA","0 to 6",15,44858.8254620123,"POTS diagnosis"
"CORIVA","7 to 11",22,48404.34770705,"POTS diagnosis"
"CORIVA","12 to 18",170,74510.6557152635,"POTS diagnosis"
"CORIVA","19 to 40",4797,282288.158795346,"POTS symptoms"
"CORIVA","19 to 40",919,300442.562628337,"POTS diagnosis"
"CORIVA","41 to 64",1107,327374.532511978,"POTS diagnosis"
"CORIVA","65 to 150",646,180631.556468172,"POTS diagnosis"
"CORIVA","19 to 40",137,303435.61670089,"RA"
"CORIVA","41 to 64",469,328650.171115674,"RA"
"CORIVA","65 to 150",356,179754.71321013,"RA"
"CORIVA","41 to 64",5723,304151.33744011,"POTS symptoms"
"CORIVA","19 to 40",10,304226.532511978,"SLE"
"CORIVA","41 to 64",28,332701.412731006,"SLE"
"CORIVA","65 to 150",12,184524.106776181,"SLE"
"CORIVA","0 to 6",14,44893.4209445585,"T2DM"
"CORIVA","7 to 11",23,48353.7850787132,"T2DM"
"CORIVA","12 to 18",22,74691.0417522245,"T2DM"
"CORIVA","19 to 40",60,303036.109514032,"T2DM"
"CORIVA","41 to 64",106,330962.390143737,"T2DM"
"CORIVA","65 to 150",3699,163791.230663929,"POTS symptoms"
"CORIVA","65 to 150",168,182980.31211499,"T2DM"
"CORIVA","7 to 11",6,48464.6543463381,"IBD"
"CORIVA","12 to 18",24,74923.9972621492,"IBD"
"CORIVA","0 to 6",134,44566.340862423,"POTS symptoms"
"CORIVA","19 to 40",162,303114.943189596,"IBD"
"CORIVA","41 to 64",164,331653.804243669,"IBD"
"CORIVA","65 to 150",103,183974.245037645,"IBD"
"CORIVA","0 to 6",16,44846.2149212868,"Juvenile arthritis"
"CORIVA","7 to 11",21,48310.6913073238,"Juvenile arthritis"
"CORIVA","12 to 18",56,74495.6386036961,"Juvenile arthritis"
"CORIVA","0 to 6",9,44911.4496919918,"ME/CFS diagnosis"
"CORIVA","7 to 11",343,47538.9267624914,"POTS symptoms"
"CORIVA","7 to 11",17,48448.6214921287,"ME/CFS diagnosis"
"CORIVA","12 to 18",53,74884.9445585216,"ME/CFS diagnosis"
"CORIVA","19 to 40",182,303891.394934976,"ME/CFS diagnosis"
"CORIVA","41 to 64",293,332205.524982888,"ME/CFS diagnosis"
"CORIVA","65 to 150",108,184415.206023272,"ME/CFS diagnosis"
"CORIVA","0 to 6",159,44439.40862423,"ME/CFS symptoms"
"CORIVA","7 to 11",235,47713.2457221081,"ME/CFS symptoms"
"CORIVA","12 to 18",804,72603.0663928816,"ME/CFS symptoms"
"CORIVA","19 to 40",3525,289219.485284052,"ME/CFS symptoms"
"CORIVA","41 to 64",3835,315338.318959617,"ME/CFS symptoms"
"CORIVA","12 to 18",1194,71285.5797399042,"POTS symptoms"
"CORIVA","65 to 150",2021,174244.845995893,"ME/CFS symptoms"
"CORIVA","0 to 150",462,987054.973305955,"IBD"
"CORIVA","0 to 150",93,989192.375085558,"Juvenile arthritis"
"CORIVA","0 to 150",662,988757.141683778,"ME/CFS diagnosis"
"CORIVA","0 to 150",10579,943558.370978782,"ME/CFS symptoms"
"CORIVA","0 to 150",161,990314.726899384,"MIS"
"CORIVA","0 to 150",2879,976222.480492813,"POTS diagnosis"
"CORIVA","0 to 150",962,980267.063655031,"RA"
"CORIVA","0 to 150",52,989867.162217659,"SLE"
"CORIVA","0 to 150",15890,913621.574264203,"POTS symptoms"
"CORIVA","0 to 150",393,984917.059548255,"T2DM"
