"database","age","n_events","person_years","outcome"
"IPCI","19 to 40",347,714572.550308008,"POTS diagnosis"
"IPCI","41 to 64",799,912122.162902122,"POTS diagnosis"
"IPCI","65 to 150",977,562414.387405886,"POTS diagnosis"
"IPCI","12 to 18",7,225830.984257358,"RA"
"IPCI","19 to 40",24828,515151.386721424,"POTS symptoms"
"IPCI","19 to 40",278,715000.585900068,"RA"
"IPCI","41 to 64",842,909504.826830938,"RA"
"IPCI","65 to 150",875,559780.851471595,"RA"
"IPCI","0 to 6",24,168599.750855578,"T2DM"
"IPCI","7 to 11",40,156317.155373032,"T2DM"
"IPCI","12 to 18",45,225447.611225188,"T2DM"
"IPCI","19 to 40",116,715430.22587269,"T2DM"
"IPCI","41 to 64",107,916280.13963039,"T2DM"
"IPCI","65 to 150",94,569879.646817248,"T2DM"
"IPCI","41 to 64",28826,640784.323066393,"POTS symptoms"
"IPCI","65 to 150",23327,353303.181382615,"POTS symptoms"
"IPCI","7 to 11",11,156468.123203285,"IBD"
"IPCI","12 to 18",86,225540.013689254,"IBD"
"IPCI","0 to 6",2166,162558.85284052,"POTS symptoms"
"IPCI","19 to 40",532,712535.498973306,"IBD"
"IPCI","41 to 64",632,911293.029431896,"IBD"
"IPCI","65 to 150",357,566526.869267625,"IBD"
"IPCI","0 to 6",7,168626.461327858,"Juvenile arthritis"
"IPCI","7 to 11",5,156432.158795346,"Juvenile arthritis"
"IPCI","12 to 18",35,225615.449691992,"Juvenile arthritis"
"IPCI","7 to 11",2538,141802.910335387,"POTS symptoms"
"IPCI","12 to 18",31,225710.231348392,"ME/CFS diagnosis"
"IPCI","19 to 40",150,715438.042436687,"ME/CFS diagnosis"
"IPCI","41 to 64",179,916631.315537303,"ME/CFS diagnosis"
"IPCI","65 to 150",65,570477.648186174,"ME/CFS diagnosis"
"IPCI","0 to 6",1658,164356.199863107,"ME/CFS symptoms"
"IPCI","7 to 11",1585,145490.592744695,"ME/CFS symptoms"
"IPCI","12 to 18",6271,191915.203285421,"ME/CFS symptoms"
"IPCI","19 to 40",18247,565656,"ME/CFS symptoms"
"IPCI","41 to 64",17540,742103.238877481,"ME/CFS symptoms"
"IPCI","12 to 18",9141,178586.978781656,"POTS symptoms"
"IPCI","65 to 150",12566,464459.383983573,"ME/CFS symptoms"
"IPCI","0 to 6",7,168606.091718001,"POTS diagnosis"
"IPCI","7 to 11",11,156430.565366188,"POTS diagnosis"
"IPCI","12 to 18",59,225575.271731691,"POTS diagnosis"
"IPCI","0 to 150",1620,2741005.68925394,"IBD"
"IPCI","0 to 150",47,2757249.99589322,"Juvenile arthritis"
"IPCI","0 to 150",433,2753401.30047912,"ME/CFS diagnosis"
"IPCI","0 to 150",57867,2273980.61875428,"ME/CFS symptoms"
"IPCI","0 to 150",2200,2739721.0294319,"POTS diagnosis"
"IPCI","0 to 150",2002,2735277.99315537,"RA"
"IPCI","0 to 150",426,2751954.52977413,"T2DM"
"IPCI","0 to 150",90826,1992187.63312799,"POTS symptoms"
