"database","sex","n_events","person_years","outcome"
"CPRDGOLD","Male",1058,2631850.65023956,"IBD"
"CPRDGOLD","Female",1019,2664354.16290212,"IBD"
"CPRDGOLD","Both",2077,5296204.81314168,"IBD"
"CPRDGOLD","Male",13,2648140.26283368,"Juvenile arthritis"
"CPRDGOLD","Female",22,2681161.34154689,"Juvenile arthritis"
"CPRDGOLD","Both",35,5329301.60438056,"Juvenile arthritis"
"CPRDGOLD","Male",18263,2245231.72621492,"POTS symptoms"
"CPRDGOLD","Male",324,2644038.56262834,"ME/CFS diagnosis"
"CPRDGOLD","Female",669,2671097.15811088,"ME/CFS diagnosis"
"CPRDGOLD","Both",993,5315135.72073922,"ME/CFS diagnosis"
"CPRDGOLD","Male",10690,2393359.94524298,"ME/CFS symptoms"
"CPRDGOLD","Female",18299,2159668.86516085,"ME/CFS symptoms"
"CPRDGOLD","Both",28989,4553028.81040383,"ME/CFS symptoms"
"CPRDGOLD","Male",1326,2633727.53730322,"POTS diagnosis"
"CPRDGOLD","Female",2051,2657670.51334702,"POTS diagnosis"
"CPRDGOLD","Both",3377,5291398.05065024,"POTS diagnosis"
"CPRDGOLD","Male",646,2639573.54140999,"RA"
"CPRDGOLD","Female",26589,2013677.95482546,"POTS symptoms"
"CPRDGOLD","Female",1249,2661230.56810404,"RA"
"CPRDGOLD","Both",1895,5300804.10951403,"RA"
"CPRDGOLD","Male",29,2647955.54277892,"SLE"
"CPRDGOLD","Female",122,2678238.59548255,"SLE"
"CPRDGOLD","Both",151,5326194.13826146,"SLE"
"CPRDGOLD","Male",691,2637012.75290897,"T2DM"
"CPRDGOLD","Female",547,2672335.77275838,"T2DM"
"CPRDGOLD","Both",1238,5309348.52566735,"T2DM"
"CPRDGOLD","Both",44852,4258909.68104038,"POTS symptoms"
