"database","sex","n_events","person_years","outcome"
"AUSOM","Male",212,380391.912388775,"IBD"
"AUSOM","Female",122,396841.546885695,"IBD"
"AUSOM","Both",334,777233.45927447,"IBD"
"AUSOM","Male",10,382485.472963723,"Juvenile arthritis"
"AUSOM","Female",10,397886.475017112,"Juvenile arthritis"
"AUSOM","Both",20,780371.947980835,"Juvenile arthritis"
"AUSOM","Male",2575,361603.745379877,"POTS symptoms"
"AUSOM","Male",46,382192.260095825,"ME/CFS diagnosis"
"AUSOM","Female",70,397623.545516769,"ME/CFS diagnosis"
"AUSOM","Both",116,779815.805612594,"ME/CFS diagnosis"
"AUSOM","Male",676,374680.167008898,"ME/CFS symptoms"
"AUSOM","Female",1028,387405.850787132,"ME/CFS symptoms"
"AUSOM","Both",1704,762086.01779603,"ME/CFS symptoms"
"AUSOM","Both",6,780684.908966461,"MIS"
"AUSOM","Male",229,381005.544147844,"POTS diagnosis"
"AUSOM","Female",3415,367738.357289528,"POTS symptoms"
"AUSOM","Female",229,396366.047912389,"POTS diagnosis"
"AUSOM","Both",458,777371.592060233,"POTS diagnosis"
"AUSOM","Male",163,379909.341546886,"RA"
"AUSOM","Female",560,385107.770020534,"RA"
"AUSOM","Both",723,765017.11156742,"RA"
"AUSOM","Male",21,382267.937029432,"SLE"
"AUSOM","Female",104,394795.72073922,"SLE"
"AUSOM","Both",125,777063.657768652,"SLE"
"AUSOM","Male",83,381060.013689254,"T2DM"
"AUSOM","Female",58,396707.022587269,"T2DM"
"AUSOM","Both",5990,729342.102669404,"POTS symptoms"
"AUSOM","Both",141,777767.036276523,"T2DM"
