"database","sex","n_events","person_years","outcome"
"eDOL_CHUM","Male",281,2135408.67077344,"IBD"
"eDOL_CHUM","Female",273,2290894.06707734,"IBD"
"eDOL_CHUM","Both",554,4426302.73785079,"IBD"
"eDOL_CHUM","Male",12,2138511.39219713,"Juvenile arthritis"
"eDOL_CHUM","Female",20,2294194.39835729,"Juvenile arthritis"
"eDOL_CHUM","Both",32,4432705.79055441,"Juvenile arthritis"
"eDOL_CHUM","Male",926,2130144.03285421,"POTS symptoms"
"eDOL_CHUM","Male",63,2138087.12388775,"ME/CFS diagnosis"
"eDOL_CHUM","Female",54,2294084.3559206,"ME/CFS diagnosis"
"eDOL_CHUM","Both",117,4432171.47980835,"ME/CFS diagnosis"
"eDOL_CHUM","Male",411,2133513.04312115,"ME/CFS symptoms"
"eDOL_CHUM","Female",446,2288574.02874743,"ME/CFS symptoms"
"eDOL_CHUM","Both",857,4422087.07186858,"ME/CFS symptoms"
"eDOL_CHUM","Male",40,2138812.07939767,"MIS"
"eDOL_CHUM","Female",18,2294819.12388775,"MIS"
"eDOL_CHUM","Both",58,4433631.20328542,"MIS"
"eDOL_CHUM","Male",472,2134220.64339493,"POTS diagnosis"
"eDOL_CHUM","Female",880,2286032.96098563,"POTS symptoms"
"eDOL_CHUM","Female",319,2291225.91101985,"POTS diagnosis"
"eDOL_CHUM","Both",791,4425446.55441478,"POTS diagnosis"
"eDOL_CHUM","Male",223,2135548.31759069,"RA"
"eDOL_CHUM","Female",499,2285643.45242984,"RA"
"eDOL_CHUM","Both",722,4421191.77002053,"RA"
"eDOL_CHUM","Male",12,2138656.45174538,"SLE"
"eDOL_CHUM","Female",109,2293232.89253936,"SLE"
"eDOL_CHUM","Both",121,4431889.34428474,"SLE"
"eDOL_CHUM","Male",218,2134637.32511978,"T2DM"
"eDOL_CHUM","Female",148,2291730.85831622,"T2DM"
"eDOL_CHUM","Both",1806,4416176.99383984,"POTS symptoms"
"eDOL_CHUM","Both",366,4426368.183436,"T2DM"
