"database","sex","n_events","person_years","outcome"
"CORIVA","Male",214,472864.684462697,"IBD"
"CORIVA","Female",248,514190.288843258,"IBD"
"CORIVA","Both",462,987054.973305955,"IBD"
"CORIVA","Male",42,474068.470910335,"Juvenile arthritis"
"CORIVA","Female",51,515123.904175222,"Juvenile arthritis"
"CORIVA","Both",93,989192.375085558,"Juvenile arthritis"
"CORIVA","Male",5199,451223.175906913,"POTS symptoms"
"CORIVA","Male",217,473955.334702259,"ME/CFS diagnosis"
"CORIVA","Female",445,514801.80698152,"ME/CFS diagnosis"
"CORIVA","Both",662,988757.141683778,"ME/CFS diagnosis"
"CORIVA","Male",3694,459176.054757016,"ME/CFS symptoms"
"CORIVA","Female",6885,484382.316221766,"ME/CFS symptoms"
"CORIVA","Both",10579,943558.370978782,"ME/CFS symptoms"
"CORIVA","Male",61,474499.504449008,"MIS"
"CORIVA","Female",100,515815.222450376,"MIS"
"CORIVA","Both",161,990314.726899384,"MIS"
"CORIVA","Male",953,469806.732375086,"POTS diagnosis"
"CORIVA","Female",10691,462398.39835729,"POTS symptoms"
"CORIVA","Female",1926,506415.748117728,"POTS diagnosis"
"CORIVA","Both",2879,976222.480492813,"POTS diagnosis"
"CORIVA","Male",252,472489.127994524,"RA"
"CORIVA","Female",710,507777.935660506,"RA"
"CORIVA","Both",962,980267.063655031,"RA"
"CORIVA","Male",15,474437.295003422,"SLE"
"CORIVA","Female",37,515429.867214237,"SLE"
"CORIVA","Both",52,989867.162217659,"SLE"
"CORIVA","Male",211,471651.980835044,"T2DM"
"CORIVA","Female",182,513265.07871321,"T2DM"
"CORIVA","Both",15890,913621.574264203,"POTS symptoms"
"CORIVA","Both",393,984917.059548255,"T2DM"
