"database","sex","n_events","person_years","outcome"
"IPCI","Male",712,1347938.47775496,"IBD"
"IPCI","Female",908,1393067.21149897,"IBD"
"IPCI","Both",1620,2741005.68925394,"IBD"
"IPCI","Male",18,1355140.63518138,"Juvenile arthritis"
"IPCI","Female",29,1402109.36071184,"Juvenile arthritis"
"IPCI","Both",47,2757249.99589322,"Juvenile arthritis"
"IPCI","Male",37022,1065748.15058179,"POTS symptoms"
"IPCI","Male",102,1354239.99178645,"ME/CFS diagnosis"
"IPCI","Female",331,1399161.30869268,"ME/CFS diagnosis"
"IPCI","Both",433,2753401.30047912,"ME/CFS diagnosis"
"IPCI","Male",21705,1185702.29431896,"ME/CFS symptoms"
"IPCI","Female",36162,1088278.32443532,"ME/CFS symptoms"
"IPCI","Both",57867,2273980.61875428,"ME/CFS symptoms"
"IPCI","Male",905,1348509.88090349,"POTS diagnosis"
"IPCI","Female",1295,1391211.14852841,"POTS diagnosis"
"IPCI","Both",2200,2739721.0294319,"POTS diagnosis"
"IPCI","Male",746,1347648.89527721,"RA"
"IPCI","Female",53804,926439.482546201,"POTS symptoms"
"IPCI","Female",1256,1387629.09787817,"RA"
"IPCI","Both",2002,2735277.99315537,"RA"
"IPCI","Male",241,1352161.47570157,"T2DM"
"IPCI","Female",185,1399793.05407255,"T2DM"
"IPCI","Both",426,2751954.52977413,"T2DM"
"IPCI","Both",90826,1992187.63312799,"POTS symptoms"
