"","number_observations","reason","cohort_definition_id"
"1",8761,"Starting events",1
"2",4661,"Event washout",1
"3",4661,"In observation at cohort entry",1
"4",2321,"365 days of prior history",1
"5",2306,"Historical influenza",1
"6",2205,"Entry after 2020-09-01",1
"7",625,"> 120 days follow-up",1
"8",621,"First event only",1
"9",598,"Historical COVID-19",1
"10",131684,"Starting events",3
"11",99371,"Event washout",3
"12",99371,"In observation at cohort entry",3
"13",57215,"365 days of prior history",3
"14",57183,"Historical influenza",3
"15",51200,"Entry after 2020-09-01",3
"16",36885,"> 120 days follow-up",3
"17",30091,"First event only",3
"18",30065,"Historical COVID-19",3
