"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",197958,23098215,223,2020-09-01,2020-12-31,63239.4661190965,352.62789787003,307.861309137279,402.073957186238,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"2","1",199977,63293466,1017,2021-01-01,2021-12-31,173288.065708419,586.884039499433,551.364206431238,624.091753791514,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"3","1",168526,45706957,846,2022-01-01,2022-12-31,125138.828199863,676.049162494016,631.255164339567,723.182826898109,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"4","1",79042,3706929,71,2023-01-01,2023-02-28,10149.0184804928,699.575039068728,546.373909566538,882.418721369319,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"5","10",189876,22135152,358,2020-09-01,2020-12-31,60602.7433264887,590.732333801006,531.117519341054,655.207812332323,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"6","10",191829,60635939,1080,2021-01-01,2021-12-31,166012.153319644,650.55478072171,612.329466262064,690.541409127707,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"7","10",161405,43556636,1107,2022-01-01,2022-12-31,119251.570157426,928.289664059456,874.404505661413,984.62647365247,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"8","10",74417,3490403,146,2023-01-01,2023-02-28,9556.20260095825,1527.80352297428,1290.03713774867,1796.69511352877,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"9","100",201483,23519507,49,2020-09-01,2020-12-31,64392.900752909,76.0953450257269,56.2957551608537,100.602081651046,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"10","100",203526,64577823,97,2021-01-01,2021-12-31,176804.443531828,54.8628745196319,44.4900953861334,66.9280542777265,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
