"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",193191,22523464,342,2020-09-01,2020-12-31,61665.8836413415,554.601636764221,497.374140098339,616.60790873694,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"2","1",195208,61693077,1043,2021-01-01,2021-12-31,168906.439425051,617.501620157477,580.590282459613,656.144398539904,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"3","1",164301,44325240,1056,2022-01-01,2022-12-31,121355.893223819,870.167877263609,818.469595560704,924.275872307286,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"4","1",75738,3533987,134,2023-01-01,2023-02-28,9675.52908966461,1384.93718284759,1160.38360155846,1640.26784696134,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"5","10",201795,23557877,32,2020-09-01,2020-12-31,64497.9520876112,49.6139783733483,33.9359244795135,70.0401340155071,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"6","10",203792,64669487,85,2021-01-01,2021-12-31,177055.405886379,48.0075711749499,38.3467427412888,59.3621052080989,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"7","10",172275,46890052,85,2022-01-01,2022-12-31,128377.965776865,66.2107391137037,52.8867867580978,81.8706042605324,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"8","10",81449,3820730,10,2023-01-01,2023-02-28,10460.5886379192,95.59691472572,45.8424364260854,175.80612983244,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"9","11",197646,5863601,6,2020-09-01,2020-09-30,16053.6646132786,37.3746440114189,13.7158356458349,81.3488654280015,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"10","11",196178,6016647,9,2020-10-01,2020-10-31,16472.681724846,54.6359126603239,24.9830183458899,103.715981021171,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"11","11",194561,5769830,11,2020-11-01,2020-11-30,15796.9336071184,69.6337673726956,34.760925783485,124.594044659609,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"12","11",192683,5907799,6,2020-12-01,2020-12-31,16174.6721423682,37.0950331925646,13.6132234032934,80.740270390461,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"13","11",190731,5859086,NA,2021-01-01,2021-01-31,16041.3032169747,NA,NA,NA,"FALSE","TRUE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"14","11",189016,5252739,7,2021-02-01,2021-02-28,14381.2156057495,48.674605762822,19.5697160008832,100.288291039433,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"15","11",187803,5756533,9,2021-03-01,2021-03-31,15760.5284052019,57.1046843647035,26.1118979743091,108.402478725143,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"16","11",185392,5502323,5,2021-04-01,2021-04-30,15064.5393566051,33.1905269828761,10.7768737675115,77.4556181447837,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"17","11",183342,5614046,8,2021-05-01,2021-05-31,15370.4202600958,52.0480238316537,22.4706424307423,102.555356024436,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"18","11",181481,5369172,9,2021-06-01,2021-06-30,14699.9917864476,61.2245240048186,27.9957509988027,116.223217669891,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"19","11",179368,5478971,NA,2021-07-01,2021-07-31,15000.605065024,NA,NA,NA,"FALSE","TRUE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"20","11",176856,5409164,13,2021-08-01,2021-08-31,14809.4839151266,87.7815869513293,46.73999803554,150.109187096334,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"21","11",174475,5161654,8,2021-09-01,2021-09-30,14131.8384668036,56.609761134706,24.4400768156368,111.54379705954,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"22","11",171872,5245539,NA,2021-10-01,2021-10-31,14361.5030800821,NA,NA,NA,"FALSE","TRUE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"23","11",168784,4975677,9,2021-11-01,2021-11-30,13622.6611909651,66.0663865439818,30.2097588693445,125.414580983268,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"24","11",165165,5044583,6,2021-12-01,2021-12-31,13811.3155373032,43.442639361866,15.9426829945614,94.5563367026561,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
