"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",202663,23663903,NA,2020-09-01,2020-12-31,64788.2354551677,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"2","1",204727,64989209,78,2021-01-01,2021-12-31,177930.757015743,43.8372776625116,34.6515488604172,54.7109064692266,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"3","1",173167,47193518,39,2022-01-01,2022-12-31,129208.810403833,30.1837002276457,21.463561503863,41.2621118476386,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"4","1",82231,3860991,NA,2023-01-01,2023-02-28,10570.81724846,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"5","10",202663,23663903,NA,2020-09-01,2020-12-31,64788.2354551677,NA,NA,NA,"FALSE","TRUE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"6","10",204727,64976043,165,2021-01-01,2021-12-31,177894.710472279,92.7514930387497,79.1388999917441,108.033442984623,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"7","10",173100,47159859,96,2022-01-01,2022-12-31,129116.657084189,74.351367335513,60.2248462522476,90.7957452173569,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"8","10",82151,3857005,NA,2023-01-01,2023-02-28,10559.9041752225,NA,NA,NA,"FALSE","TRUE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"9","100",202663,23663926,NA,2020-09-01,2020-12-31,64788.2984257358,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"10","100",204728,64998469,12,2021-01-01,2021-12-31,177956.109514031,6.74323575221441,3.48432831311887,11.7790758099958,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"11","100",173225,47217868,7,2022-01-01,2022-12-31,129275.4770705,5.41479339982059,2.17702778229553,11.156543908043,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"12","100",82299,3864564,NA,2023-01-01,2023-02-28,10580.5995893224,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
"13","101",198505,5889366,NA,2020-09-01,2020-09-30,16124.205338809,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2023-02-28,NA,NA,FALSE,"AJOUMC_CDM"
