"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",NA,NA,NA,2020-12-05,2020-12-31,NA,NA,NA,NA,"TRUE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"2","1",19,2849,NA,2021-01-01,2021-12-31,7.80013689253936,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"3","1",255,39124,NA,2022-01-01,2022-12-31,107.115674195756,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"4","1",194,9074,NA,2023-01-01,2023-02-24,24.8432580424367,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"5","10",NA,NA,NA,2020-12-05,2020-12-31,NA,NA,NA,NA,"TRUE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"6","10",19,2762,NA,2021-01-01,2021-12-31,7.56194387405886,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"7","10",254,38961,NA,2022-01-01,2022-12-31,106.669404517454,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"8","10",194,9074,NA,2023-01-01,2023-02-24,24.8432580424367,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"9","100",NA,NA,NA,2020-12-05,2020-12-31,NA,NA,NA,NA,"TRUE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
"10","100",19,2673,NA,2021-01-01,2021-12-31,7.31827515400411,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,1,"infection",FALSE,"AJOUMC_CDM"
