"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",NA,NA,NA,2022-03-13,2022-11-29,NA,NA,NA,NA,"TRUE","TRUE",37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"2","10",NA,NA,NA,2022-03-13,2022-11-29,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"3","11",NA,NA,NA,2022-03-13,2022-03-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"4","11",NA,NA,NA,2022-04-01,2022-04-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"5","11",NA,NA,NA,2022-05-01,2022-05-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"6","11",NA,NA,NA,2022-06-01,2022-06-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"7","11",NA,NA,NA,2022-07-01,2022-07-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"8","11",NA,NA,NA,2022-08-01,2022-08-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"9","11",NA,NA,NA,2022-09-01,2022-09-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"10","11",NA,NA,NA,2022-10-01,2022-10-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"11","11",NA,NA,NA,2022-11-01,2022-11-29,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"12","12",NA,NA,NA,2022-03-13,2022-11-29,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"overall",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"13","13",NA,NA,NA,2022-11-02,2022-12-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"14","13",NA,NA,NA,2023-01-01,2023-02-24,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"15","14",NA,NA,NA,2022-11-02,2022-11-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"16","14",NA,NA,NA,2022-12-01,2022-12-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"17","14",NA,NA,NA,2023-01-01,2023-01-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"18","14",NA,NA,NA,2023-02-01,2023-02-24,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"19","15",NA,NA,NA,2022-11-02,2023-02-24,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"overall",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"20","16",NA,NA,NA,2022-05-16,2022-08-26,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"21","17",NA,NA,NA,2022-05-16,2022-05-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"22","17",NA,NA,NA,2022-06-01,2022-06-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"23","17",NA,NA,NA,2022-07-01,2022-07-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"24","17",NA,NA,NA,2022-08-01,2022-08-26,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"25","18",NA,NA,NA,2022-05-16,2022-08-26,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"overall",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"26","2",NA,NA,NA,2022-03-13,2022-03-31,NA,NA,NA,NA,"TRUE","TRUE",37,"reinf_heart_failure",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"27","2",NA,NA,NA,2022-04-01,2022-04-30,NA,NA,NA,NA,"TRUE","TRUE",37,"reinf_heart_failure",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"28","2",NA,NA,NA,2022-05-01,2022-05-31,NA,NA,NA,NA,"TRUE","TRUE",37,"reinf_heart_failure",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
