"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",NA,NA,1,"Starting population",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"2","1",NA,NA,2,"Missing year of birth",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"3","1",NA,NA,3,"Missing sex",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"4","1",NA,NA,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"5","1",NA,NA,5,"No observation time available during study period",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"6","1",NA,NA,6,"Doesn't satisfy age criteria during the study period",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"7","1",NA,NA,7,"Prior history requirement not fulfilled during study period",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"8","1",NA,NA,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"9","1",NA,NA,11,"Starting analysis population",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"10","1",NA,NA,12,"Excluded due to prior event (do not pass outcome washout during study period)",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"11","1",NA,NA,14,"Not observed during the complete database interval",NA,NA,37,"reinf_heart_failure",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"12","10",NA,NA,1,"Starting population",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"13","10",NA,NA,2,"Missing year of birth",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"14","10",NA,NA,3,"Missing sex",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"15","10",NA,NA,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"16","10",NA,NA,5,"No observation time available during study period",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"17","10",NA,NA,6,"Doesn't satisfy age criteria during the study period",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"18","10",NA,NA,7,"Prior history requirement not fulfilled during study period",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"19","10",NA,NA,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"20","10",NA,NA,11,"Starting analysis population",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"21","10",NA,NA,12,"Excluded due to prior event (do not pass outcome washout during study period)",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"22","10",NA,NA,14,"Not observed during the complete database interval",NA,NA,38,"reinf_any_pasc",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"23","11",NA,NA,1,"Starting population",NA,NA,38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"24","11",NA,NA,2,"Missing year of birth",NA,NA,38,"reinf_any_pasc",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","12 to 18","Both",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
