"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",NA,NA,NA,2022-05-16,2022-12-31,NA,NA,NA,NA,"TRUE","TRUE",37,"reinf_heart_failure",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"2","1",NA,NA,NA,2023-01-01,2023-02-24,NA,NA,NA,NA,"TRUE","TRUE",37,"reinf_heart_failure",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"3","10",NA,NA,NA,2022-05-16,2022-12-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"4","10",NA,NA,NA,2023-01-01,2023-02-24,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"5","11",NA,NA,NA,2022-05-16,2022-05-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"6","11",NA,NA,NA,2022-06-01,2022-06-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"7","11",NA,NA,NA,2022-07-01,2022-07-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"8","11",NA,NA,NA,2022-08-01,2022-08-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"9","11",NA,NA,NA,2022-11-01,2022-11-30,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"10","11",NA,NA,NA,2022-12-01,2022-12-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
"11","11",NA,NA,NA,2023-01-01,2023-01-31,NA,NA,NA,NA,"TRUE","TRUE",38,"reinf_any_pasc",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2023-02-28,2,"reinfection",FALSE,"AJOUMC_CDM"
