"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","398114"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","398114"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","49"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","33"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","61"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","759"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","477"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","904"
"9","Overall","Overall","Overall","Overall","prior_observation",NA,"numeric","median","3560"
"10","Overall","Overall","Overall","Overall","prior_observation",NA,"numeric","q25","1587"
"11","Overall","Overall","Overall","Overall","prior_observation",NA,"numeric","q75","6070.75"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-09-30"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-12-22"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2023-02-22"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2020-09-01"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-09-01"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2020-09-01"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","201403"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","50.5892784478818"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","196711"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","49.4107215521182"
