"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","30476"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","30667"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","55"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","38"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","68"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","464"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","299"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","618"
"9","Overall","Overall","Overall","Overall","prior_observation",NA,"numeric","median","4198"
"10","Overall","Overall","Overall","Overall","prior_observation",NA,"numeric","q25","1822"
"11","Overall","Overall","Overall","Overall","prior_observation",NA,"numeric","q75","6945"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-04-11"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-12-21"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-08-24"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2021-08-01"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2021-04-07"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2021-12-15"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","16276"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","53.0733361593896"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","14391"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","46.9266638406104"
"22","Overall","Overall","base_id","1","number subjects",NA,NA,"count","598"
"23","Overall","Overall","base_id","1","number records",NA,NA,"count","598"
"24","Overall","Overall","base_id","1","age",NA,"numeric","median","50"
"25","Overall","Overall","base_id","1","age",NA,"numeric","q25","29.25"
"26","Overall","Overall","base_id","1","age",NA,"numeric","q75","67.75"
"27","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","235"
"28","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","112"
"29","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","278"
"30","Overall","Overall","base_id","1","prior_observation",NA,"numeric","median","4359.5"
"31","Overall","Overall","base_id","1","prior_observation",NA,"numeric","q25","1926.5"
"32","Overall","Overall","base_id","1","prior_observation",NA,"numeric","q75","7412.25"
"33","Overall","Overall","base_id","1","cohort_end_date",NA,"date","median","2023-02-10"
"34","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q25","2022-12-06"
"35","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q75","2023-02-24"
"36","Overall","Overall","base_id","1","cohort_start_date",NA,"date","median","2022-05-22"
"37","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q25","2022-05-09"
"38","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q75","2022-08-05"
"39","Overall","Overall","base_id","1","sex","Female","categorical","count","321"
"40","Overall","Overall","base_id","1","sex","Female","categorical","%","53.6789297658863"
"41","Overall","Overall","base_id","1","sex","Male","categorical","count","277"
"42","Overall","Overall","base_id","1","sex","Male","categorical","%","46.3210702341137"
"43","Overall","Overall","base_id","2","number subjects",NA,NA,"count",NA
"44","Overall","Overall","base_id","2","number records",NA,NA,"count",NA
"45","Overall","Overall","base_id","2","age",NA,"numeric","median",NA
"46","Overall","Overall","base_id","2","age",NA,"numeric","q25",NA
"47","Overall","Overall","base_id","2","age",NA,"numeric","q75",NA
"48","Overall","Overall","base_id","2","future_observation",NA,"numeric","median",NA
"49","Overall","Overall","base_id","2","future_observation",NA,"numeric","q25",NA
"50","Overall","Overall","base_id","2","future_observation",NA,"numeric","q75",NA
"51","Overall","Overall","base_id","2","prior_observation",NA,"numeric","median",NA
"52","Overall","Overall","base_id","2","prior_observation",NA,"numeric","q25",NA
"53","Overall","Overall","base_id","2","prior_observation",NA,"numeric","q75",NA
"54","Overall","Overall","base_id","2","cohort_end_date",NA,"date","median",NA
"55","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q25",NA
"56","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q75",NA
"57","Overall","Overall","base_id","2","cohort_start_date",NA,"date","median",NA
"58","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q25",NA
"59","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q75",NA
"60","Overall","Overall","base_id","2","sex","Female","categorical","count",NA
"61","Overall","Overall","base_id","2","sex","Female","categorical","%",NA
"62","Overall","Overall","base_id","2","sex","Male","categorical","count",NA
"63","Overall","Overall","base_id","2","sex","Male","categorical","%",NA
"64","Overall","Overall","base_id","3","number subjects",NA,NA,"count","30065"
"65","Overall","Overall","base_id","3","number records",NA,NA,"count","30065"
"66","Overall","Overall","base_id","3","age",NA,"numeric","median","55"
"67","Overall","Overall","base_id","3","age",NA,"numeric","q25","38"
"68","Overall","Overall","base_id","3","age",NA,"numeric","q75","68"
"69","Overall","Overall","base_id","3","future_observation",NA,"numeric","median","470"
"70","Overall","Overall","base_id","3","future_observation",NA,"numeric","q25","307"
"71","Overall","Overall","base_id","3","future_observation",NA,"numeric","q75","620"
"72","Overall","Overall","base_id","3","prior_observation",NA,"numeric","median","4195"
"73","Overall","Overall","base_id","3","prior_observation",NA,"numeric","q25","1819"
"74","Overall","Overall","base_id","3","prior_observation",NA,"numeric","q75","6938"
"75","Overall","Overall","base_id","3","cohort_end_date",NA,"date","median","2022-04-06"
"76","Overall","Overall","base_id","3","cohort_end_date",NA,"date","q25","2021-12-21"
"77","Overall","Overall","base_id","3","cohort_end_date",NA,"date","q75","2022-08-16"
"78","Overall","Overall","base_id","3","cohort_start_date",NA,"date","median","2021-07-27"
"79","Overall","Overall","base_id","3","cohort_start_date",NA,"date","q25","2021-04-04"
"80","Overall","Overall","base_id","3","cohort_start_date",NA,"date","q75","2021-12-06"
"81","Overall","Overall","base_id","3","sex","Female","categorical","count","15953"
"82","Overall","Overall","base_id","3","sex","Female","categorical","%","53.0616996507567"
"83","Overall","Overall","base_id","3","sex","Male","categorical","count","14112"
"84","Overall","Overall","base_id","3","sex","Male","categorical","%","46.9383003492433"
