cohort_name,n
infection,352178
reinfection,8813
test_negative,669155
abdominal_pain,7549274
allergy,5677504
altered_smell_taste,40405
anxiety,4189373
blurred_vision,250931
chest_pain_angina,3398454
cognitive_dysfunction_brain_fog,60864
cough,12758733
depression_wo_recurrence,6210958
dizziness,1999675
dyspnea,3817349
fatigue_malaise,3082433
gastrointestinal_issues,8799585
headache,4193744
intermittent_fever,413461
joint_pain,6844142
memory_issues,301817
menstrual_problems,715634
muscle_spasms_and_pain,409280
neuralgia,1316688
pins_and_needles_sensation,383642
sleep_disorder,1955727
tachycardia,1551016
tinnitus_hearing_problems,1650894
any_lc_symptom,77571583
lc_code,973
postexertional_fatigue,NA
venous_thrombosembolism,352389
deep_vein_thrombosis,278439
pulmonary_embolism,82130
haemorrhagic_stroke,18115
ischemic_stroke,41676
transient_ischemic_attack,200098
myocardial_infarction,227186
myocarditis_pericarditis,14117
ventricular_arrhythmia_cardiac_arrest,33238
heart_failure,355128
any_pasc_event,1602516
dysautonomia,2760945
ibd,73145
juvenile_arthritis,1846
me_cfs,41672
me_cfs_symptoms,2128484
pots,105208
ra,76306
sle,9173
t1dm,56391
misc,NA
inf_t1dm,26
inf_intermittent_fever,86
inf_joint_pain,5030
inf_fatigue_malaise,2126
inf_dizziness,1194
inf_ibd,56
inf_ventricular_arrhythmia_cardiac_arrest,19
inf_abdominal_pain,5147
inf_myocarditis_pericarditis,22
inf_anxiety,4238
inf_pots,113
inf_cough,6013
inf_transient_ischemic_attack,92
inf_muscle_spasms_and_pain,142
inf_depression_wo_recurrence,3930
inf_gastrointestinal_issues,3983
inf_deep_vein_thrombosis,167
inf_me_cfs_symptoms,1211
inf_headache,3193
inf_altered_smell_taste,152
inf_memory_issues,178
inf_me_cfs,80
inf_cognitive_dysfunction_brain_fog,78
inf_heart_failure,209
inf_myocardial_infarction,151
inf_dysautonomia,1584
inf_any_lc,31591
inf_menstrual_problems,465
inf_neuralgia,774
inf_tinnitus_hearing_problems,748
inf_chest_pain_angina,1945
inf_blurred_vision,133
inf_venous_thrombosembolism,273
inf_allergy,2384
inf_dyspnea,2669
inf_juvenile_arthritis,NA
inf_pins_and_needles_sensation,224
inf_haemorrhagic_stroke,21
inf_sleep_disorder,828
inf_lc_code,147
inf_tachycardia,1168
inf_ra,41
inf_any_pasc,775
inf_ischemic_stroke,29
inf_pulmonary_embolism,114
inf_sle,NA
inf_postexertional_fatigue,NA
inf_misc,NA
reinf_intermittent_fever,NA
reinf_joint_pain,64
reinf_fatigue_malaise,42
reinf_dizziness,25
reinf_ibd,NA
reinf_ventricular_arrhythmia_cardiac_arrest,NA
reinf_abdominal_pain,83
reinf_myocarditis_pericarditis,NA
reinf_anxiety,82
reinf_pots,NA
reinf_cough,104
reinf_transient_ischemic_attack,NA
reinf_muscle_spasms_and_pain,NA
reinf_depression_wo_recurrence,77
reinf_gastrointestinal_issues,56
reinf_deep_vein_thrombosis,NA
reinf_me_cfs_symptoms,23
reinf_headache,57
reinf_memory_issues,NA
reinf_me_cfs,NA
reinf_cognitive_dysfunction_brain_fog,NA
reinf_heart_failure,NA
reinf_myocardial_infarction,NA
reinf_dysautonomia,25
reinf_any_lc,573
reinf_menstrual_problems,8
reinf_neuralgia,8
reinf_tinnitus_hearing_problems,8
reinf_chest_pain_angina,30
reinf_blurred_vision,NA
reinf_venous_thrombosembolism,NA
reinf_allergy,40
reinf_dyspnea,39
reinf_pins_and_needles_sensation,6
reinf_haemorrhagic_stroke,NA
reinf_sleep_disorder,13
reinf_lc_code,NA
reinf_tachycardia,21
reinf_any_pasc,11
reinf_ischemic_stroke,NA
reinf_pulmonary_embolism,NA
reinf_altered_smell_taste,NA
reinf_postexertional_fatigue,NA
reinf_juvenile_arthritis,NA
reinf_misc,NA
reinf_ra,NA
reinf_sle,NA
reinf_t1dm,NA
testneg_abdominal_pain,14806
testneg_allergy,7112
testneg_altered_smell_taste,87
testneg_anxiety,12123
testneg_blurred_vision,455
testneg_chest_pain_angina,5645
testneg_cognitive_dysfunction_brain_fog,244
testneg_cough,20761
testneg_depression_wo_recurrence,11770
testneg_dizziness,3362
testneg_dyspnea,8099
testneg_fatigue_malaise,5466
testneg_gastrointestinal_issues,12568
testneg_headache,8654
testneg_intermittent_fever,403
testneg_joint_pain,14549
testneg_memory_issues,523
testneg_menstrual_problems,1177
testneg_muscle_spasms_and_pain,513
testneg_neuralgia,2278
testneg_pins_and_needles_sensation,687
testneg_sleep_disorder,2663
testneg_tachycardia,3624
testneg_tinnitus_hearing_problems,2459
testneg_lc_code,124
testneg_any_lc,89415
testneg_venous_thrombosembolism,866
testneg_deep_vein_thrombosis,546
testneg_pulmonary_embolism,351
testneg_haemorrhagic_stroke,78
testneg_ischemic_stroke,75
testneg_transient_ischemic_attack,323
testneg_myocardial_infarction,482
testneg_myocarditis_pericarditis,65
testneg_ventricular_arrhythmia_cardiac_arrest,75
testneg_heart_failure,701
testneg_any_pasc,2512
testneg_dysautonomia,4330
testneg_ibd,212
testneg_juvenile_arthritis,NA
testneg_me_cfs,118
testneg_me_cfs_symptoms,3273
testneg_pots,319
testneg_ra,126
testneg_sle,15
testneg_t1dm,110
testneg_postexertional_fatigue,NA
testneg_misc,NA
