"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",257246,28742119,90,2020-09-01,2020-12-31,78691.6331279945,114.370481870178,91.9673734733561,140.580739517721,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"2","1",274765,78519119,292,2021-01-01,2021-12-31,214973.631759069,135.830612159568,120.696242817254,152.337780989258,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"3","1",219446,31970190,155,2022-01-01,2022-06-20,87529.6098562628,177.082932569372,150.302454650283,207.258901048986,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"4","10",901940,102681455,2556,2020-09-01,2020-12-31,281126.502395619,909.199231740532,874.289974773873,945.144902949985,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"5","10",919543,283868179,8020,2021-01-01,2021-12-31,777188.717316906,1031.92439896548,1009.46210203798,1054.76050877445,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"6","10",805464,120232571,3641,2022-01-01,2022-06-20,329178.839151266,1106.08567956182,1070.44681105635,1142.60872050415,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"7","100",1041268,119220271,184,2020-09-01,2020-12-31,326407.312799452,56.3712860541979,48.5201140632445,65.1310613920843,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"8","100",1048752,328270126,526,2021-01-01,2021-12-31,898754.622861054,58.5254291461173,53.6301388604659,63.7474785945997,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"9","100",916531,137866545,219,2022-01-01,2022-06-20,377458.028747433,58.0196957862402,50.5893683902153,66.2341782755214,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"10","101",1020293,30012449,39,2020-09-01,2020-09-30,82169.6071184121,47.4628045182184,33.750693792988,64.883216234688,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"11","101",1003001,30621161,53,2020-10-01,2020-10-31,83836.1697467488,63.2185370110559,47.3550223635987,82.6914029333893,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"12","101",985720,28848327,49,2020-11-01,2020-11-30,78982.4147843942,62.0391262203871,45.8968871080803,82.0190149538426,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"13","101",965181,29738334,43,2020-12-01,2020-12-31,81419.1211498973,52.8131468292743,38.2211362299953,71.1389621901571,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"14","101",953109,29250620,51,2021-01-01,2021-01-31,80083.832991102,63.683265517107,47.4163740920216,83.7317332002007,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"15","101",944494,26150884,51,2021-02-01,2021-02-28,71597.2183436003,71.2318176318629,53.036766953789,93.656685172878,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"16","101",936856,28711093,36,2021-03-01,2021-03-31,78606.688569473,45.7976295085666,32.0760966734161,63.403223563079,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"17","101",934821,27680526,46,2021-04-01,2021-04-30,75785.1498973306,60.6979072579762,44.4384967960037,80.9625022761184,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"18","101",925232,28111550,35,2021-05-01,2021-05-31,76965.2292950034,45.4750805273989,31.6750597975577,63.2448286258054,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"19","101",902061,26802060,44,2021-06-01,2021-06-30,73380.0410677618,59.9618089057334,43.5683421444554,80.4959297116804,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"20","101",899923,27552197,42,2021-07-01,2021-07-31,75433.8042436687,55.6779555546877,40.1277730004162,75.2604211702018,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"21","101",894895,27437690,53,2021-08-01,2021-08-31,75120.3011635866,70.5534977616556,52.8494113008186,92.285712191485,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"22","101",894155,26538448,33,2021-09-01,2021-09-30,72658.3107460643,45.4180666480572,31.2637072614027,63.7838518309891,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
