"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",1525387,176902535,3568,2020-09-01,2020-12-31,484332.744695414,736.683620729347,712.707541456226,761.260665579829,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"2","1",1547819,496588267,11392,2021-01-01,2021-12-31,1359584.57768652,837.903002649879,822.586214432052,853.433346937427,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"3","1",1361027,208797141,5609,2022-01-01,2022-06-20,571655.416837782,981.185489508211,955.673853296577,1007.20571291841,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"4","10",1767734,205719921,228,2020-09-01,2020-12-31,563230.447638604,40.4807660800142,35.396421817862,46.0903950831073,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"5","10",1781288,576518308,827,2021-01-01,2021-12-31,1578421.10335387,52.3941296934494,48.8836072844207,56.0901673517865,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"6","10",1568178,241642177,250,2022-01-01,2022-06-20,661580.224503765,37.788312095864,33.248877080014,42.7745108697253,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"7","11",1743775,51634580,66,2020-09-01,2020-09-30,141367.775496235,46.6867359045043,36.107518166331,59.3969751223417,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"8","11",1714224,52445584,59,2020-10-01,2020-10-31,143588.183436003,41.0897321688705,31.2794079247555,53.0027607713946,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"9","11",1685130,50012154,56,2020-11-01,2020-11-30,136925.815195072,40.8980584999398,30.8939538701046,53.1095308097916,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"10","11",1672688,51627603,47,2020-12-01,2020-12-31,141348.673511294,33.2511079392936,24.4316634243522,44.216924565375,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
