"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",258478,28886368,NA,2020-09-01,2020-12-31,79086.5653661875,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"2","1",275880,78876377,NA,2021-01-01,2021-12-31,215951.750855578,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"3","1",220283,32104343,NA,2022-01-01,2022-06-20,87896.900752909,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"4","10",1045397,119718961,NA,2020-09-01,2020-12-31,327772.651608487,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"5","10",1052746,329705922,NA,2021-01-01,2021-12-31,902685.618069815,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"6","10",920351,138480371,29,2022-01-01,2022-06-20,379138.592744695,7.6489179827515,5.12260041821334,10.9851221256793,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"7","100",1045397,119718961,NA,2020-09-01,2020-12-31,327772.651608487,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"8","100",1052746,329706133,NA,2021-01-01,2021-12-31,902686.195756331,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"9","100",920355,138482175,NA,2022-01-01,2022-06-20,379143.531827515,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"10","101",1024422,30136025,NA,2020-09-01,2020-09-30,82507.9397672827,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"11","101",1007106,30747738,NA,2020-10-01,2020-10-31,84182.7186858316,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"12","101",989775,28970183,NA,2020-11-01,2020-11-30,79316.038329911,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
