"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",22782,978300,NA,2020-09-02,2020-12-31,2678.43942505133,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"2","1",132630,18734493,587,2021-01-01,2021-12-31,51292.2464065708,1144.42248317048,1053.70304493372,1240.86308029893,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"3","1",134510,19303506,733,2022-01-01,2022-06-20,52850.1190965092,1386.94105619984,1288.34032913793,1491.08634702891,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"4","10",22782,978291,NA,2020-09-02,2020-12-31,2678.41478439425,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"5","10",132629,18757068,369,2021-01-01,2021-12-31,51354.0533880903,718.541138732343,647.088622447251,795.728217564996,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"6","10",134585,19335531,381,2022-01-01,2022-06-20,52937.7987679671,719.71258508494,649.250283393424,795.736382007041,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"7","100",22782,978300,NA,2020-09-02,2020-12-31,2678.43942505133,NA,NA,NA,"FALSE","TRUE",12,"inf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"8","100",132630,18773293,254,2021-01-01,2021-12-31,51398.4750171116,494.178085858459,435.267738764572,558.838059228596,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"9","100",134628,19344512,244,2022-01-01,2022-06-20,52962.3874058864,460.704307247451,404.706561504504,522.284209232404,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"10","101",1525,20093,NA,2020-09-02,2020-09-30,55.0116358658453,NA,NA,NA,"FALSE","TRUE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"11","101",6801,119748,NA,2020-10-01,2020-10-31,327.852156057495,NA,NA,NA,"FALSE","TRUE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"12","101",12476,294678,NA,2020-11-01,2020-11-30,806.784394250513,NA,NA,NA,"FALSE","TRUE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"13","101",22782,543781,NA,2020-12-01,2020-12-31,1488.79123887748,NA,NA,NA,"FALSE","TRUE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"14","101",30139,845880,6,2021-01-01,2021-01-31,2315.8932238193,259.079302028657,95.0775377225532,563.906569102585,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"15","101",32819,884909,5,2021-02-01,2021-02-28,2422.74880219028,206.377152904988,67.0100997945272,481.61543073611,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"16","101",34790,1047585,12,2021-03-01,2021-03-31,2868.13141683778,418.390870430562,216.188668075697,730.84465115925,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"17","101",35562,1051310,19,2021-04-01,2021-04-30,2878.32991101985,660.105011842368,397.426338119579,1030.83574464446,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
"18","101",36112,1084688,27,2021-05-01,2021-05-31,2969.71389459274,909.178491879693,599.15435504284,1322.80697196756,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,1,"infection","cdm_gold_202207"
