"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",114,9668,NA,2021-02-22,2021-12-31,26.4695414099932,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"2","1",196,27802,NA,2022-01-01,2022-06-20,76.1177275838467,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"3","10",2307,90575,NA,2021-01-30,2021-12-31,247.98083504449,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"4","10",4550,688144,29,2022-01-01,2022-06-20,1884.03559206023,1539.24905252389,1030.85924806282,2210.61839882986,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"5","100",2307,90786,NA,2021-01-30,2021-12-31,248.558521560575,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"6","100",4554,689894,NA,2022-01-01,2022-06-20,1888.82683093771,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"7","101",NA,NA,NA,2021-01-30,2021-01-31,NA,NA,NA,NA,"TRUE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"8","101",11,197,NA,2021-02-01,2021-02-28,0.539356605065024,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"9","101",19,414,NA,2021-03-01,2021-03-31,1.13347022587269,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"10","101",23,596,NA,2021-04-01,2021-04-30,1.63175906913073,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"11","101",39,969,NA,2021-05-01,2021-05-31,2.65297741273101,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"12","101",112,2058,NA,2021-06-01,2021-06-30,5.63449691991786,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"13","101",195,4986,NA,2021-07-01,2021-07-31,13.6509240246407,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"14","101",294,7192,NA,2021-08-01,2021-08-31,19.6906228610541,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"15","101",429,11147,NA,2021-09-01,2021-09-30,30.5188227241615,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"16","101",537,14795,NA,2021-10-01,2021-10-31,40.5065023956194,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"17","101",621,17189,NA,2021-11-01,2021-11-30,47.0609171800137,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"18","101",2297,31240,NA,2021-12-01,2021-12-31,85.5304585900068,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"19","101",4225,112256,NA,2022-01-01,2022-01-31,307.340177960301,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"20","101",4542,125533,NA,2022-02-01,2022-02-28,343.690622861054,NA,NA,NA,"FALSE","TRUE",7,"reinf_cognitive_dysfunction_brain_fog",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
