"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",1727,73804,NA,2021-01-11,2021-12-31,202.064339493498,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"2","1",3327,501913,13,2022-01-01,2022-06-20,1374.16290212183,946.030487355378,503.721391424239,1617.74094496607,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"3","10",1727,73873,NA,2021-01-11,2021-12-31,202.25325119781,NA,NA,NA,"FALSE","TRUE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"4","10",3327,502467,5,2022-01-01,2022-06-20,1375.67967145791,363.456704619408,118.01340266938,848.186705191108,"FALSE","FALSE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"5","100",1727,73526,NA,2021-01-11,2021-12-31,201.303216974675,NA,NA,NA,"FALSE","TRUE",13,"reinf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"6","100",3324,501724,12,2022-01-01,2022-06-20,1373.64544832307,873.587869027593,451.395599664515,1525.9822011398,"FALSE","FALSE",13,"reinf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"7","101",5,65,NA,2021-01-11,2021-01-31,0.177960301163587,NA,NA,NA,"FALSE","TRUE",13,"reinf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"8","101",13,254,NA,2021-02-01,2021-02-28,0.695414099931554,NA,NA,NA,"FALSE","TRUE",13,"reinf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"9","101",19,473,NA,2021-03-01,2021-03-31,1.29500342231348,NA,NA,NA,"FALSE","TRUE",13,"reinf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
"10","101",27,718,NA,2021-04-01,2021-04-30,1.96577686516085,NA,NA,NA,"FALSE","TRUE",13,"reinf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,2,"reinfection","cdm_gold_202207"
