"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",87618,4519946,7,2020-09-02,2020-12-31,12374.9377138946,56.5659412745196,22.7424421567787,116.547458218788,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"2","1",288788,55819257,2252,2021-01-01,2021-12-31,152824.796714579,1473.5828533153,1413.34405615811,1535.72899446262,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"3","1",192317,25104463,1120,2022-01-01,2022-06-20,68732.2737850787,1629.51105546452,1535.46395405067,1727.81156281001,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"4","10",87618,4519939,6,2020-09-02,2020-12-31,12374.9185489391,48.4851676095629,17.7932019898395,105.531797812425,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"5","10",288789,55897309,1442,2021-01-01,2021-12-31,153038.491444216,942.246611549762,894.235551505361,992.165698381796,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"6","10",192645,25163694,712,2022-01-01,2022-06-20,68894.4394250513,1033.46511843611,958.938258835154,1112.24606974696,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"7","100",87618,4520012,NA,2020-09-02,2020-12-31,12375.1184120465,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"8","100",288793,55985871,785,2021-01-01,2021-12-31,153280.960985626,512.131444735405,476.927609073855,549.246217162054,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"9","100",192839,25197549,377,2022-01-01,2022-06-20,68987.1293634497,546.478746801921,492.700899681751,604.524628686976,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
"10","101",10913,172448,NA,2020-09-02,2020-09-30,472.136892539357,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,3,"test_negative","cdm_gold_202207"
