"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","3280322"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","3280322"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","42"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","23"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","60"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","645"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","644"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","646"
"9","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","4975"
"10","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","2268"
"11","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","6453"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-06-08"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2022-06-07"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-06-09"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2020-09-01"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-09-01"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2020-09-01"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","1648761"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","50.2621693845909"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","1631561"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","49.7378306154091"
