"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","955320"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","1030146"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","37"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","20"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","53"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","196"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","114"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","400"
"9","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","4608"
"10","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","2103"
"11","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","6673"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-06-08"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-12-15"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-06-09"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2021-10-31"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2021-03-31"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2022-02-02"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","568353"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","55.1720824038534"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","461793"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","44.8279175961466"
"22","Overall","Overall","base_id","1","number subjects",NA,NA,"count","352178"
"23","Overall","Overall","base_id","1","number records",NA,NA,"count","352178"
"24","Overall","Overall","base_id","1","age",NA,"numeric","median","35"
"25","Overall","Overall","base_id","1","age",NA,"numeric","q25","20"
"26","Overall","Overall","base_id","1","age",NA,"numeric","q75","51"
"27","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","143"
"28","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","73"
"29","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","245"
"30","Overall","Overall","base_id","1","prior_history",NA,"numeric","median","5039"
"31","Overall","Overall","base_id","1","prior_history",NA,"numeric","q25","2543"
"32","Overall","Overall","base_id","1","prior_history",NA,"numeric","q75","6776"
"33","Overall","Overall","base_id","1","cohort_end_date",NA,"date","median","2022-06-08"
"34","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q25","2022-03-26"
"35","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q75","2022-06-09"
"36","Overall","Overall","base_id","1","cohort_start_date",NA,"date","median","2022-01-08"
"37","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q25","2021-09-20"
"38","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q75","2022-03-27"
"39","Overall","Overall","base_id","1","sex","Female","categorical","count","191578"
"40","Overall","Overall","base_id","1","sex","Female","categorical","%","54.3980600718955"
"41","Overall","Overall","base_id","1","sex","Male","categorical","count","160600"
"42","Overall","Overall","base_id","1","sex","Male","categorical","%","45.6019399281045"
"43","Overall","Overall","base_id","2","number subjects",NA,NA,"count","8752"
"44","Overall","Overall","base_id","2","number records",NA,NA,"count","8813"
"45","Overall","Overall","base_id","2","age",NA,"numeric","median","31"
"46","Overall","Overall","base_id","2","age",NA,"numeric","q25","21"
"47","Overall","Overall","base_id","2","age",NA,"numeric","q75","44"
"48","Overall","Overall","base_id","2","future_observation",NA,"numeric","median","69"
"49","Overall","Overall","base_id","2","future_observation",NA,"numeric","q25","54"
"50","Overall","Overall","base_id","2","future_observation",NA,"numeric","q75","80"
"51","Overall","Overall","base_id","2","prior_history",NA,"numeric","median","5802"
"52","Overall","Overall","base_id","2","prior_history",NA,"numeric","q25","3029"
"53","Overall","Overall","base_id","2","prior_history",NA,"numeric","q75","6988"
"54","Overall","Overall","base_id","2","cohort_end_date",NA,"date","median","2022-06-09"
"55","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q25","2022-06-08"
"56","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q75","2022-06-09"
"57","Overall","Overall","base_id","2","cohort_start_date",NA,"date","median","2022-04-01"
"58","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q25","2022-03-21"
"59","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q75","2022-04-14"
"60","Overall","Overall","base_id","2","sex","Female","categorical","count","5456"
"61","Overall","Overall","base_id","2","sex","Female","categorical","%","61.908544196074"
"62","Overall","Overall","base_id","2","sex","Male","categorical","count","3357"
"63","Overall","Overall","base_id","2","sex","Male","categorical","%","38.091455803926"
"64","Overall","Overall","base_id","3","number subjects",NA,NA,"count","669155"
"65","Overall","Overall","base_id","3","number records",NA,NA,"count","669155"
"66","Overall","Overall","base_id","3","age",NA,"numeric","median","38"
"67","Overall","Overall","base_id","3","age",NA,"numeric","q25","21"
"68","Overall","Overall","base_id","3","age",NA,"numeric","q75","55"
"69","Overall","Overall","base_id","3","future_observation",NA,"numeric","median","249"
"70","Overall","Overall","base_id","3","future_observation",NA,"numeric","q25","153"
"71","Overall","Overall","base_id","3","future_observation",NA,"numeric","q75","432"
"72","Overall","Overall","base_id","3","prior_history",NA,"numeric","median","4340"
"73","Overall","Overall","base_id","3","prior_history",NA,"numeric","q25","1897"
"74","Overall","Overall","base_id","3","prior_history",NA,"numeric","q75","6612"
"75","Overall","Overall","base_id","3","cohort_end_date",NA,"date","median","2022-03-25"
"76","Overall","Overall","base_id","3","cohort_end_date",NA,"date","q25","2021-11-24"
"77","Overall","Overall","base_id","3","cohort_end_date",NA,"date","q75","2022-06-08"
"78","Overall","Overall","base_id","3","cohort_start_date",NA,"date","median","2021-08-29"
"79","Overall","Overall","base_id","3","cohort_start_date",NA,"date","q25","2021-03-13"
"80","Overall","Overall","base_id","3","cohort_start_date",NA,"date","q75","2021-12-22"
"81","Overall","Overall","base_id","3","sex","Female","categorical","count","371319"
"82","Overall","Overall","base_id","3","sex","Female","categorical","%","55.4907308471131"
"83","Overall","Overall","base_id","3","sex","Male","categorical","count","297836"
"84","Overall","Overall","base_id","3","sex","Male","categorical","%","44.5092691528869"
