"","cohort_name","n"
"1","infection",352178
"2","reinfection",8813
"3","test_negative",669155
"4","abdominal_pain",7549274
"5","allergy",5677504
"6","altered_smell_taste",40405
"7","anxiety",4189373
"8","blurred_vision",250931
"9","chest_pain_angina",3398454
"10","cognitive_dysfunction_brain_fog",60864
"11","cough",12758733
"12","depression_wo_recurrence",6210958
"13","dizziness",1999675
"14","dyspnea",3817349
"15","fatigue_malaise",3082433
"16","gastrointestinal_issues",8799585
"17","headache",4193744
"18","intermittent_fever",413461
"19","joint_pain",6844142
"20","memory_issues",301817
"21","menstrual_problems",715634
"22","muscle_spasms_and_pain",409280
"23","neuralgia",1316688
"24","pins_and_needles_sensation",383642
"25","sleep_disorder",1955727
"26","tachycardia",1551016
"27","tinnitus_hearing_problems",1650894
"28","any_lc_symptom",77571583
"29","lc_code",973
"30","postexertional_fatigue",NA
"31","venous_thrombosembolism",352389
"32","deep_vein_thrombosis",278439
"33","pulmonary_embolism",82130
"34","haemorrhagic_stroke",18115
"35","ischemic_stroke",41676
"36","transient_ischemic_attack",200098
"37","myocardial_infarction",227186
"38","myocarditis_pericarditis",14117
"39","ventricular_arrhythmia_cardiac_arrest",33238
"40","heart_failure",355128
"41","any_pasc_event",1602516
"42","dysautonomia",2760945
"43","ibd",73145
"44","juvenile_arthritis",1846
"45","me_cfs",41672
"46","me_cfs_symptoms",2128484
"47","pots",105208
"48","ra",76306
"49","sle",9173
"50","t1dm",56391
"51","mis",NA
"52","inf_deep_vein_thrombosis",167
"53","inf_headache",3193
"54","inf_altered_smell_taste",152
"55","inf_heart_failure",209
"56","inf_menstrual_problems",465
"57","inf_pins_and_needles_sensation",224
"58","inf_haemorrhagic_stroke",21
"59","inf_sleep_disorder",828
"60","inf_lc_code",147
"61","inf_tachycardia",1168
"62","inf_sle",NA
"63","inf_t1dm",26
"64","inf_abdominal_pain",5146
"65","inf_anxiety",4238
"66","inf_depression_wo_recurrence",3930
"67","inf_gastrointestinal_issues",3983
"68","inf_any_lc",31590
"69","inf_chest_pain_angina",1945
"70","inf_ra",41
"71","inf_joint_pain",5030
"72","inf_dizziness",1194
"73","inf_cough",6013
"74","inf_muscle_spasms_and_pain",142
"75","inf_memory_issues",178
"76","inf_cognitive_dysfunction_brain_fog",78
"77","inf_myocardial_infarction",151
"78","inf_dysautonomia",1584
"79","inf_tinnitus_hearing_problems",748
"80","inf_venous_thrombosembolism",273
"81","inf_allergy",2384
"82","inf_dyspnea",2669
"83","inf_juvenile_arthritis",NA
"84","inf_pulmonary_embolism",114
"85","inf_intermittent_fever",86
"86","inf_fatigue_malaise",2126
"87","inf_ibd",56
"88","inf_pots",113
"89","inf_me_cfs_symptoms",1211
"90","inf_me_cfs",80
"91","inf_neuralgia",774
"92","inf_blurred_vision",133
"93","inf_any_pasc",775
"94","inf_ischemic_stroke",29
"95","inf_ventricular_arrhythmia_cardiac_arrest",19
"96","inf_myocarditis_pericarditis",22
"97","inf_transient_ischemic_attack",92
"98","inf_postexertional_fatigue",NA
"99","inf_mis",NA
"100","reinf_deep_vein_thrombosis",NA
"101","reinf_headache",57
"102","reinf_heart_failure",NA
"103","reinf_menstrual_problems",8
"104","reinf_pins_and_needles_sensation",6
"105","reinf_haemorrhagic_stroke",NA
"106","reinf_sleep_disorder",13
"107","reinf_lc_code",NA
"108","reinf_tachycardia",21
"109","reinf_abdominal_pain",82
"110","reinf_anxiety",82
"111","reinf_depression_wo_recurrence",77
"112","reinf_gastrointestinal_issues",56
"113","reinf_any_lc",572
"114","reinf_chest_pain_angina",30
"115","reinf_joint_pain",64
"116","reinf_dizziness",25
"117","reinf_cough",104
"118","reinf_muscle_spasms_and_pain",NA
"119","reinf_memory_issues",NA
"120","reinf_cognitive_dysfunction_brain_fog",NA
"121","reinf_myocardial_infarction",NA
"122","reinf_dysautonomia",25
"123","reinf_tinnitus_hearing_problems",8
"124","reinf_venous_thrombosembolism",NA
"125","reinf_allergy",40
"126","reinf_dyspnea",39
"127","reinf_pulmonary_embolism",NA
"128","reinf_intermittent_fever",NA
"129","reinf_fatigue_malaise",42
"130","reinf_ibd",NA
"131","reinf_pots",NA
"132","reinf_me_cfs_symptoms",23
"133","reinf_me_cfs",NA
"134","reinf_neuralgia",8
"135","reinf_blurred_vision",NA
"136","reinf_any_pasc",11
"137","reinf_ischemic_stroke",NA
"138","reinf_ventricular_arrhythmia_cardiac_arrest",NA
"139","reinf_myocarditis_pericarditis",NA
"140","reinf_transient_ischemic_attack",NA
"141","reinf_altered_smell_taste",NA
"142","reinf_postexertional_fatigue",NA
"143","reinf_juvenile_arthritis",NA
"144","reinf_mis",NA
"145","reinf_ra",NA
"146","reinf_sle",NA
"147","reinf_t1dm",NA
"148","testneg_deep_vein_thrombosis",546
"149","testneg_headache",8654
"150","testneg_altered_smell_taste",87
"151","testneg_heart_failure",701
"152","testneg_menstrual_problems",1177
"153","testneg_pins_and_needles_sensation",687
"154","testneg_haemorrhagic_stroke",78
"155","testneg_sleep_disorder",2663
"156","testneg_lc_code",124
"157","testneg_tachycardia",3624
"158","testneg_sle",15
"159","testneg_t1dm",110
"160","testneg_abdominal_pain",14805
"161","testneg_anxiety",12123
"162","testneg_depression_wo_recurrence",11770
"163","testneg_gastrointestinal_issues",12568
"164","testneg_any_lc",89414
"165","testneg_chest_pain_angina",5645
"166","testneg_ra",126
"167","testneg_joint_pain",14549
"168","testneg_dizziness",3362
"169","testneg_cough",20761
"170","testneg_muscle_spasms_and_pain",513
"171","testneg_memory_issues",523
"172","testneg_cognitive_dysfunction_brain_fog",244
"173","testneg_myocardial_infarction",482
"174","testneg_dysautonomia",4330
"175","testneg_tinnitus_hearing_problems",2459
"176","testneg_venous_thrombosembolism",866
"177","testneg_allergy",7112
"178","testneg_dyspnea",8099
"179","testneg_juvenile_arthritis",NA
"180","testneg_pulmonary_embolism",351
"181","testneg_intermittent_fever",403
"182","testneg_fatigue_malaise",5466
"183","testneg_ibd",212
"184","testneg_pots",319
"185","testneg_me_cfs_symptoms",3273
"186","testneg_me_cfs",118
"187","testneg_neuralgia",2278
"188","testneg_blurred_vision",455
"189","testneg_any_pasc",2512
"190","testneg_ischemic_stroke",75
"191","testneg_ventricular_arrhythmia_cardiac_arrest",75
"192","testneg_myocarditis_pericarditis",65
"193","testneg_transient_ischemic_attack",323
"194","testneg_postexertional_fatigue",NA
"195","testneg_mis",NA
