"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",1418772,165287943,3130,2020-09-01,2020-12-31,452533.724845996,691.661157644148,667.64024513493,716.325509027351,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"2","1",1421644,462767474,10135,2021-01-01,2021-12-31,1266988.29295003,799.928464721788,784.429814437014,815.656322066795,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"3","1",1248131,192015471,4998,2022-01-01,2022-06-20,525709.708418891,950.714799434052,924.538168534631,977.444613952645,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"4","10",1660832,194020292,190,2020-09-01,2020-12-31,531198.6091718,35.7681659400863,30.8628475570039,41.2315852265896,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"5","10",1655488,542501041,666,2021-01-01,2021-12-31,1485286.90212183,44.839821791236,41.498579702988,48.3784712420772,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"6","10",1455156,224762117,202,2022-01-01,2022-06-20,615365.138945927,32.8260389182933,28.4550698747979,37.6784340007817,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"7","11",1631533,48403582,47,2020-09-01,2020-09-30,132521.785078713,35.4658669682752,26.0589850540829,47.1620845610585,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"8","11",1611550,49267166,52,2020-10-01,2020-10-31,134886.149212868,38.5510301120223,28.7917532134251,50.5545470300724,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"9","11",1586715,47345243,48,2020-11-01,2020-11-30,129624.210814511,37.0301193722884,27.3030868239017,49.0965659750062,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"10","11",1588226,49004301,43,2020-12-01,2020-12-31,134166.464065708,32.0497378383175,23.1945541895823,43.1707865402317,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
