"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",212998,23709871,NA,2020-09-01,2020-12-31,64914.0889801506,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"2","1",226349,64462114,NA,2021-01-01,2021-12-31,176487.649555099,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"3","1",177186,25686830,NA,2022-01-01,2022-06-20,70326.7077344285,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"4","10",943993,109283578,199,2020-09-01,2020-12-31,299202.130047912,66.510221691314,57.5899287164797,76.4208265985331,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"5","10",935991,299560712,624,2021-01-01,2021-12-31,820152.531143053,76.083408427738,70.2301119612527,82.2943588703858,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"6","10",801105,122101211,236,2022-01-01,2022-06-20,334294.896646133,70.5963514153844,61.8760597946406,80.2013339726948,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"7","100",948657,109843823,18,2020-09-01,2020-12-31,300735.997262149,5.98531607917543,3.54727763803425,9.45937983032018,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"8","100",940219,301060512,45,2021-01-01,2021-12-31,824258.759753593,5.45945062366731,3.98216074743892,7.30517447154086,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"9","100",804857,122703699,17,2022-01-01,2022-06-20,335944.41889117,5.0603608942547,2.94784670103879,8.10212799657319,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"10","101",925180,27332567,NA,2020-09-01,2020-09-30,74832.4900752909,NA,NA,NA,"FALSE","TRUE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
