"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",1646346,192287529,846,2020-09-01,2020-12-31,526454.562628337,160.697629017844,150.050046420309,171.901352854611,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"2","1",1641341,537522261,2643,2021-01-01,2021-12-31,1471655.74537988,179.593631751002,172.811372803775,186.573852431883,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"3","1",1441823,222638584,934,2022-01-01,2022-06-20,609551.222450376,153.227483696177,143.556997901907,163.378030950607,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"4","10",1651983,192967022,503,2020-09-01,2020-12-31,528314.913073238,95.208366743619,87.0687655481994,103.904021961591,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"5","10",1646971,539567386,1476,2021-01-01,2021-12-31,1477254.99247091,99.9150456436223,94.8822127494812,105.1455234086,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"6","10",1447499,223548951,566,2022-01-01,2022-06-20,612043.671457906,92.4770610979069,85.0143969049699,100.419306299596,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"7","11",1622665,48139846,123,2020-09-01,2020-09-30,131799.715263518,93.3234186083603,77.5608849278212,111.348055281999,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"8","11",1602869,48999202,129,2020-10-01,2020-10-31,134152.503764545,96.1592190827924,80.2823843756323,114.25697792093,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"9","11",1578143,47088195,112,2020-11-01,2020-11-30,128920.45174538,86.8752773386196,71.5328346154847,104.533533250643,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"10","11",1579689,48739779,139,2020-12-01,2020-12-31,133442.242299795,104.164916299682,87.5686661777188,122.991607812042,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
