"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",17054819,17054819,1,"Starting population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"2","1",17054819,17054819,2,"Missing year of birth",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"3","1",17054819,17054819,3,"Missing sex",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"4","1",17054819,17054819,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"5","1",3926510,3926510,5,"No observation time available during study period",13128309,13128309,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"6","1",3926510,3926510,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"7","1",3597966,3597966,7,"Prior history requirement not fulfilled during study period",328544,328544,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"8","1",1788413,1788413,8,"Not Male",1809553,1809553,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"9","1",1788413,1788413,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"10","1",1818709,1788413,11,"Starting analysis population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"11","1",1763781,1763781,12,"Excluded due to prior event (do not pass outcome washout during study period)",54928,24632,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"12","1",1763781,1763781,14,"Not observed during the complete database interval",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"13","10",17054819,17054819,1,"Starting population",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"14","10",17054819,17054819,2,"Missing year of birth",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"15","10",17054819,17054819,3,"Missing sex",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"16","10",17054819,17054819,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"17","10",3926510,3926510,5,"No observation time available during study period",13128309,13128309,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"18","10",3926510,3926510,6,"Doesn't satisfy age criteria during the study period",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"19","10",3597966,3597966,7,"Prior history requirement not fulfilled during study period",328544,328544,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"20","10",1788413,1788413,8,"Not Male",1809553,1809553,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"21","10",1788413,1788413,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"22","10",1810664,1788413,11,"Starting analysis population",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"23","10",1769490,1769490,12,"Excluded due to prior event (do not pass outcome washout during study period)",41174,18923,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"24","10",1769490,1769490,14,"Not observed during the complete database interval",NA,NA,2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"25","11",17054819,17054819,1,"Starting population",NA,NA,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"26","11",17054819,17054819,2,"Missing year of birth",NA,NA,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"27","11",17054819,17054819,3,"Missing sex",NA,NA,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"28","11",17054819,17054819,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"29","11",3926510,3926510,5,"No observation time available during study period",13128309,13128309,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"30","11",3926510,3926510,6,"Doesn't satisfy age criteria during the study period",NA,NA,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"31","11",3597966,3597966,7,"Prior history requirement not fulfilled during study period",328544,328544,2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
