"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",213012,23711196,NA,2020-09-01,2020-12-31,64917.7166324435,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"2","1",226363,64434289,323,2021-01-01,2021-12-31,176411.468856947,183.094671844676,163.669425696331,204.191229207855,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"3","1",176929,25629102,262,2022-01-01,2022-06-20,70168.6570841889,373.386082742969,329.538471144565,421.443967757836,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"4","10",948890,109872219,8,2020-09-01,2020-12-31,300813.741273101,2.65945297782691,1.14816303342102,5.24018256396151,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"5","10",940416,300638884,3205,2021-01-01,2021-12-31,823104.405201916,389.379522177843,376.014422754281,403.09835227897,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"6","10",802163,122199430,1117,2022-01-01,2022-06-20,334563.805612594,333.867555683361,314.57294077724,354.035995406793,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"7","100",948890,109872269,NA,2020-09-01,2020-12-31,300813.87816564,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"8","100",940419,300978859,1040,2021-01-01,2021-12-31,824035.206023272,126.208199892206,118.653362415965,134.117944310145,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"9","100",804127,122556023,421,2022-01-01,2022-06-20,335540.10403833,125.469353717524,113.768895183545,138.046525775081,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"10","101",925411,27339468,NA,2020-09-01,2020-09-30,74851.3839835729,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"11","101",915245,27919615,NA,2020-10-01,2020-10-31,76439.7399041752,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"12","101",901439,26831191,NA,2020-11-01,2020-11-30,73459.7973990418,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"13","101",901520,27781995,NA,2020-12-01,2020-12-31,76062.9568788501,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"14","101",890139,27320351,13,2021-01-01,2021-01-31,74799.0444900753,17.3799011586637,9.25406539373941,29.7201602904279,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"15","101",881393,24422637,40,2021-02-01,2021-02-28,66865.5359342916,59.8215499825019,42.7373923539191,81.4599721708806,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"16","101",871586,26773102,60,2021-03-01,2021-03-31,73300.758384668,81.8545419204693,62.4636387931072,105.363020940855,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"17","101",864059,25668757,82,2021-04-01,2021-04-30,70277.2265571526,116.680757077563,92.7996687730227,144.831585027467,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"18","101",848988,25892308,108,2021-05-01,2021-05-31,70889.2758384668,152.350265569218,124.975875773737,183.938555935344,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"19","101",822843,24521328,112,2021-06-01,2021-06-30,67135.7371663244,166.82620125631,137.364178044382,200.735270036975,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"20","101",818489,25103697,115,2021-07-01,2021-07-31,68730.1765913758,167.320972683824,138.140623187286,200.843487482414,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"21","101",814225,24991955,104,2021-08-01,2021-08-31,68424.2436687201,151.992911318862,124.189222640946,184.164851869034,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"22","101",811094,24122716,127,2021-09-01,2021-09-30,66044.3969883641,192.294889182462,160.307585016754,228.794435170216,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"23","101",805197,24494956,116,2021-10-01,2021-10-31,67063.5345653662,172.970304580257,142.928709503056,207.461404144584,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"24","101",793021,23517383,99,2021-11-01,2021-11-30,64387.0855578371,153.75754181492,124.966542835548,187.194290142062,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"25","101",785127,24149669,64,2021-12-01,2021-12-31,66118.1902806297,96.7963577471807,74.5449903226934,123.606787877901,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"26","101",773929,23729648,98,2022-01-01,2022-01-31,64968.2354551677,150.842945500077,122.461594526836,183.829235096819,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"27","101",770108,21421901,86,2022-02-01,2022-02-28,58649.9685147159,146.63264478722,117.287188699701,181.090123441921,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"28","101",773548,23670644,84,2022-03-01,2022-03-31,64806.6913073238,129.616245337474,103.386993515921,160.473731449603,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"29","101",770900,22938537,61,2022-04-01,2022-04-30,62802.2915811088,97.1302136661985,74.2969171765351,124.767822864614,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"30","101",772899,23508903,77,2022-05-01,2022-05-31,64363.8685831622,119.632336736427,94.4119693115267,149.519894652974,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"31","101",755591,7286390,15,2022-06-01,2022-06-20,19949.0485968515,75.1915557635537,42.0841429706495,124.017036458523,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"32","102",1104216,533407151,1465,2020-09-01,2022-06-20,1460389.18822724,100.315724863614,95.2440188004626,105.587364862552,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"overall",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"33","103",1096369,128992298,5,2020-09-01,2020-12-31,353161.664613279,1.41578220429874,0.459700628010172,3.30396338235063,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"34","103",1090975,363564539,1428,2021-01-01,2021-12-31,995385.45927447,143.462011293681,136.116796215369,151.100594193682,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"35","103",970932,151361599,636,2022-01-01,2022-06-20,414405.472963723,153.472876564947,141.775504851927,165.877994886099,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"36","104",1083412,32209735,NA,2020-09-01,2020-09-30,88185.4483230664,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"37","104",1069294,32748572,NA,2020-10-01,2020-10-31,89660.7036276523,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"38","104",1052875,31476647,NA,2020-11-01,2020-11-30,86178.3627652293,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"39","104",1053836,32557344,5,2020-12-01,2020-12-31,89137.1498973306,5.60933348862856,1.82133531528479,13.0903131777967,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"40","104",1062249,32726793,26,2021-01-01,2021-01-31,89601.0759753593,29.0175086816481,18.9552000695472,42.5173734449367,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"41","104",1050887,29202355,42,2021-02-01,2021-02-28,79951.6906228611,52.5317221847348,37.8602447261102,71.0076276514127,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"42","104",1036064,31947991,98,2021-03-01,2021-03-31,87468.8323066393,112.039908863127,90.9594137434353,136.540762170515,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"43","104",1031158,30714702,118,2021-04-01,2021-04-30,84092.2710472279,140.322051635077,116.148271088353,168.043415838418,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"44","104",1015005,31096425,142,2021-05-01,2021-05-31,85137.3716632444,166.78926918448,140.485210818934,196.588258081334,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"45","104",992373,29695720,144,2021-06-01,2021-06-30,81302.4503764545,177.116432940505,149.369939817995,208.522021369037,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"46","104",990473,30493893,137,2021-07-01,2021-07-31,83487.7289527721,164.095971609791,137.769389437895,193.988274348306,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"47","104",987370,30428490,152,2021-08-01,2021-08-31,83308.6652977413,182.454009383969,154.601654046025,213.874796476208,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"48","104",983889,29402595,174,2021-09-01,2021-09-30,80499.9178644764,216.149288863789,185.225134959839,250.760088440155,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"49","104",977452,29832090,144,2021-10-01,2021-10-31,81675.8110882957,176.306789098585,148.687132187253,207.568814669336,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"50","104",961840,28638977,140,2021-11-01,2021-11-30,78409.2457221081,178.550372103026,150.199852260591,210.696441318004,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"51","104",953232,29384508,111,2021-12-01,2021-12-31,80450.3983572895,137.97321364033,113.50264229227,166.155339339452,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"52","104",954482,29378972,132,2022-01-01,2022-01-31,80435.241615332,164.107171619211,137.307113399919,194.610167469453,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"53","104",949793,26510465,113,2022-02-01,2022-02-28,72581.697467488,155.686631675453,128.30781961653,187.178269414153,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"54","104",952516,29274776,134,2022-03-01,2022-03-31,80149.9685147159,167.186590940952,140.078973206176,198.0095508734,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"55","104",948488,28340889,105,2022-04-01,2022-04-30,77593.1252566735,135.321266739374,110.679389489975,163.814643949921,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"56","104",948024,28963077,129,2022-05-01,2022-05-31,79296.5831622177,162.680401671411,135.820264161272,193.29785785734,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"57","104",927050,8893420,23,2022-06-01,2022-06-20,24348.8569472964,94.4602863690234,59.8797186603193,141.736809122225,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"58","105",1234002,643918436,2069,2020-09-01,2022-06-20,1762952.59685147,117.359933766518,112.356932856031,122.528326698497,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"overall",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"59","106",646587,75915926,NA,2020-09-01,2020-12-31,207846.477754962,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"60","106",666106,222049379,661,2021-01-01,2021-12-31,607938.067077344,108.728180680929,100.59630276963,117.34237867691,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"61","106",615036,95704921,433,2022-01-01,2022-06-20,262025.793292266,165.25090700404,150.050513024357,181.573735794802,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"62","107",640509,19046257,NA,2020-09-01,2020-09-30,52145.8097193703,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"63","107",630141,19302012,NA,2020-10-01,2020-10-31,52846.0287474333,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
