"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",237,4400,NA,2020-12-01,2020-12-31,12.0465434633812,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"2","1",6591,764781,29,2021-01-01,2021-12-31,2093.85626283368,1385.00433457421,927.559139673891,1989.09725456618,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"3","1",12074,1205708,71,2022-01-01,2022-06-20,3301.04859685147,2150.83171049707,1679.81741036435,2712.98154145684,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"4","10",1261,17362,NA,2020-12-01,2020-12-31,47.5345653661875,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"5","10",59066,8685784,798,2021-01-01,2021-12-31,23780.3805612594,3355.70744103238,3126.88998851278,3596.84100918573,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"6","10",99159,9304637,716,2022-01-01,2022-06-20,25474.7077344285,2810.63087146763,2608.50262757258,3024.26358902991,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"7","100",1261,17362,NA,2020-12-01,2020-12-31,47.5345653661875,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"8","100",59066,8746306,292,2021-01-01,2021-12-31,23946.0807665982,1219.40622704031,1083.53888517288,1367.59774397231,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"9","100",99354,9346631,265,2022-01-01,2022-06-20,25589.6810403833,1035.57367355146,914.632537626407,1168.05834982121,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"10","101",1261,17362,NA,2020-12-01,2020-12-31,47.5345653661875,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"11","101",5954,104843,NA,2021-01-01,2021-01-31,287.044490075291,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"12","101",10125,227382,14,2021-02-01,2021-02-28,622.537987679671,2248.85874871362,1229.47200456447,3773.20285455772,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"13","101",18276,432835,16,2021-03-01,2021-03-31,1185.03764544832,1350.16807790498,771.737715571192,2192.58837028178,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"14","101",24356,656275,22,2021-04-01,2021-04-30,1796.78302532512,1224.41049864767,767.331540753779,1853.77220942402,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"15","101",26455,772469,29,2021-05-01,2021-05-31,2114.90485968515,1371.2200748509,918.327604601529,1969.30075827558,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"16","101",26876,781413,25,2021-06-01,2021-06-30,2139.39219712526,1168.55619243601,756.227954349321,1725.01945866308,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"17","101",27293,826322,28,2021-07-01,2021-07-31,2262.34633812457,1237.65311827593,822.411508897495,1788.75335139071,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
