"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",352178,352178,1,"Starting population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"2","1",352178,352178,2,"Missing year of birth",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"3","1",352178,352178,3,"Missing sex",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"4","1",352178,352178,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"5","1",352178,352178,5,"No observation time available during study period",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"6","1",352178,352178,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"7","1",352178,352178,7,"Prior history requirement not fulfilled during study period",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"8","1",14189,14189,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",337989,337989,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"9","1",14306,14189,11,"Starting analysis population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"10","1",14189,14189,12,"Excluded due to prior event (do not pass outcome washout during study period)",117,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"11","1",14189,14189,14,"Not observed during the complete database interval",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"12","10",352178,352178,1,"Starting population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"13","10",352178,352178,2,"Missing year of birth",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"14","10",352178,352178,3,"Missing sex",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"15","10",352178,352178,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"16","10",352178,352178,5,"No observation time available during study period",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"17","10",352178,352178,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"18","10",352178,352178,7,"Prior history requirement not fulfilled during study period",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"19","10",122816,122816,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",229362,229362,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"20","10",124633,122816,11,"Starting analysis population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"21","10",122816,122816,12,"Excluded due to prior event (do not pass outcome washout during study period)",1817,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"22","10",122816,122816,14,"Not observed during the complete database interval",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"23","100",352178,352178,1,"Starting population",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"24","100",352178,352178,2,"Missing year of birth",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"25","100",352178,352178,3,"Missing sex",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"26","100",352178,352178,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"27","100",352178,352178,5,"No observation time available during study period",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"28","100",352178,352178,6,"Doesn't satisfy age criteria during the study period",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"29","100",352178,352178,7,"Prior history requirement not fulfilled during study period",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"30","100",122816,122816,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",229362,229362,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"31","100",123435,122816,11,"Starting analysis population",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"32","100",122816,122816,12,"Excluded due to prior event (do not pass outcome washout during study period)",619,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"33","100",122816,122816,14,"Not observed during the complete database interval",NA,NA,6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"34","101",352178,352178,1,"Starting population",NA,NA,6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
"35","101",352178,352178,2,"Missing year of birth",NA,NA,6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"cdm_gold_202207"
