"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","3597966"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","3597966"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","41"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","23"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","59"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","645"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","519"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","646"
"9","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","4442"
"10","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","1602"
"11","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","6390"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-06-08"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2022-06-07"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-06-09"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2020-09-01"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-09-01"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2020-09-01"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","1809553"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","50.2937770951699"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","1788413"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","49.7062229048301"
