"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","955320"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","1030146"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","mean","37.0524828519452"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","median","37"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","20"
"6","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","53"
"7","Overall","Overall","Overall","Overall","age",NA,"numeric","sd","21.1142842329479"
"8","Overall","Overall","Overall","Overall","age",NA,"numeric","iqr","33"
"9","Overall","Overall","Overall","Overall","age",NA,"numeric","min","1"
"10","Overall","Overall","Overall","Overall","age",NA,"numeric","max","107"
"11","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","mean","335.063280350552"
"12","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","286"
"13","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","204"
"14","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","490"
"15","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","sd","153.492055979408"
"16","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","iqr","286"
"17","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","min","120"
"18","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","max","656"
"19","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","mean","4441.67692540669"
"20","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","4518"
"21","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","2013"
"22","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","6583"
"23","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","sd","2632.60448877412"
"24","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","iqr","4570"
"25","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","min","365"
"26","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","max","12174"
"27","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","mean","2022-03-16"
"28","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-06-08"
"29","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-12-15"
"30","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-06-09"
"31","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","min","2020-12-31"
"32","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","max","2022-06-20"
"33","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","mean","2021-06-17"
"34","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2021-08-02"
"35","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-12-31"
"36","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2021-11-04"
"37","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","min","2020-09-02"
"38","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","max","2022-02-19"
"39","Overall","Overall","Overall","Overall","sex","Female","categorical","count","568353"
"40","Overall","Overall","Overall","Overall","sex","Female","categorical","%","55.1720824038534"
"41","Overall","Overall","Overall","Overall","sex","Male","categorical","count","461793"
"42","Overall","Overall","Overall","Overall","sex","Male","categorical","%","44.8279175961466"
"43","Overall","Overall","base_id","1","number subjects",NA,NA,"count","352178"
"44","Overall","Overall","base_id","1","number records",NA,NA,"count","352178"
"45","Overall","Overall","base_id","1","age",NA,"numeric","mean","35.7950666992259"
"46","Overall","Overall","base_id","1","age",NA,"numeric","median","35"
"47","Overall","Overall","base_id","1","age",NA,"numeric","q25","19"
"48","Overall","Overall","base_id","1","age",NA,"numeric","q75","51"
"49","Overall","Overall","base_id","1","age",NA,"numeric","sd","19.8443029374164"
"50","Overall","Overall","base_id","1","age",NA,"numeric","iqr","32"
"51","Overall","Overall","base_id","1","age",NA,"numeric","min","1"
"52","Overall","Overall","base_id","1","age",NA,"numeric","max","107"
"53","Overall","Overall","base_id","1","future_observation",NA,"numeric","mean","277.44594210882"
"54","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","233"
"55","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","163"
"56","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","335"
"57","Overall","Overall","base_id","1","future_observation",NA,"numeric","sd","140.839096448257"
"58","Overall","Overall","base_id","1","future_observation",NA,"numeric","iqr","172"
"59","Overall","Overall","base_id","1","future_observation",NA,"numeric","min","120"
"60","Overall","Overall","base_id","1","future_observation",NA,"numeric","max","655"
"61","Overall","Overall","base_id","1","prior_history",NA,"numeric","mean","4699.17327885331"
"62","Overall","Overall","base_id","1","prior_history",NA,"numeric","median","4949"
"63","Overall","Overall","base_id","1","prior_history",NA,"numeric","q25","2453"
"64","Overall","Overall","base_id","1","prior_history",NA,"numeric","q75","6686"
"65","Overall","Overall","base_id","1","prior_history",NA,"numeric","sd","2559.37305768119"
"66","Overall","Overall","base_id","1","prior_history",NA,"numeric","iqr","4233"
"67","Overall","Overall","base_id","1","prior_history",NA,"numeric","min","365"
"68","Overall","Overall","base_id","1","prior_history",NA,"numeric","max","12172"
"69","Overall","Overall","base_id","1","cohort_end_date",NA,"date","mean","2022-04-21"
"70","Overall","Overall","base_id","1","cohort_end_date",NA,"date","median","2022-06-08"
"71","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q25","2022-03-26"
"72","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q75","2022-06-09"
"73","Overall","Overall","base_id","1","cohort_end_date",NA,"date","min","2021-01-06"
"74","Overall","Overall","base_id","1","cohort_end_date",NA,"date","max","2022-06-20"
"75","Overall","Overall","base_id","1","cohort_start_date",NA,"date","mean","2021-08-22"
"76","Overall","Overall","base_id","1","cohort_start_date",NA,"date","median","2021-10-10"
"77","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q25","2021-06-22"
"78","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q75","2021-12-27"
"79","Overall","Overall","base_id","1","cohort_start_date",NA,"date","min","2020-09-02"
"80","Overall","Overall","base_id","1","cohort_start_date",NA,"date","max","2022-02-19"
"81","Overall","Overall","base_id","1","sex","Female","categorical","count","191578"
"82","Overall","Overall","base_id","1","sex","Female","categorical","%","54.3980600718955"
"83","Overall","Overall","base_id","1","sex","Male","categorical","count","160600"
"84","Overall","Overall","base_id","1","sex","Male","categorical","%","45.6019399281045"
"85","Overall","Overall","base_id","2","number subjects",NA,NA,"count","8752"
"86","Overall","Overall","base_id","2","number records",NA,NA,"count","8813"
"87","Overall","Overall","base_id","2","age",NA,"numeric","mean","32.6826279360036"
"88","Overall","Overall","base_id","2","age",NA,"numeric","median","30"
"89","Overall","Overall","base_id","2","age",NA,"numeric","q25","21"
"90","Overall","Overall","base_id","2","age",NA,"numeric","q75","43"
"91","Overall","Overall","base_id","2","age",NA,"numeric","sd","15.9982739591046"
"92","Overall","Overall","base_id","2","age",NA,"numeric","iqr","22"
"93","Overall","Overall","base_id","2","age",NA,"numeric","min","1"
"94","Overall","Overall","base_id","2","age",NA,"numeric","max","100"
"95","Overall","Overall","base_id","2","future_observation",NA,"numeric","mean","173.255418132305"
"96","Overall","Overall","base_id","2","future_observation",NA,"numeric","median","159"
"97","Overall","Overall","base_id","2","future_observation",NA,"numeric","q25","144"
"98","Overall","Overall","base_id","2","future_observation",NA,"numeric","q75","170"
"99","Overall","Overall","base_id","2","future_observation",NA,"numeric","sd","54.8284847386906"
"100","Overall","Overall","base_id","2","future_observation",NA,"numeric","iqr","26"
"101","Overall","Overall","base_id","2","future_observation",NA,"numeric","min","120"
"102","Overall","Overall","base_id","2","future_observation",NA,"numeric","max","513"
"103","Overall","Overall","base_id","2","prior_history",NA,"numeric","mean","5091.72812890049"
"104","Overall","Overall","base_id","2","prior_history",NA,"numeric","median","5712"
"105","Overall","Overall","base_id","2","prior_history",NA,"numeric","q25","2939"
"106","Overall","Overall","base_id","2","prior_history",NA,"numeric","q75","6898"
"107","Overall","Overall","base_id","2","prior_history",NA,"numeric","sd","2462.27073590052"
"108","Overall","Overall","base_id","2","prior_history",NA,"numeric","iqr","3959"
"109","Overall","Overall","base_id","2","prior_history",NA,"numeric","min","501"
