number_observations,reason,cohort_definition_id
360198,Starting events,1
323687,Event washout,1
323687,In observation at cohort entry,1
303364,365 days of prior history,1
303321,Historical influenza,1
278510,Entry after 2020-09-01,1
114943,> 120 days follow-up,1
114434,First event only,1
112300,Historical COVID-19,1
2331549,Starting events,3
1217621,Event washout,3
1217621,In observation at cohort entry,3
1121458,365 days of prior history,3
1121394,Historical influenza,3
1043727,Entry after 2020-09-01,3
525328,> 120 days follow-up,3
434251,First event only,3
412725,Historical COVID-19,3
