cohort_name,n
infection,112300
reinfection,509
test_negative,412725
abdominal_pain,8062034
allergy,5316638
altered_smell_taste,37830
anxiety,4152142
blurred_vision,246708
chest_pain_angina,3151510
cognitive_dysfunction_brain_fog,72902
cough,12690851
depression_wo_recurrence,6174883
dizziness,1989201
dyspnea,3780841
fatigue_malaise,3062513
gastrointestinal_issues,8764264
headache,4205120
intermittent_fever,405226
joint_pain,10116198
memory_issues,299515
menstrual_problems,713668
muscle_spasms_and_pain,404104
neuralgia,1327890
pins_and_needles_sensation,382017
sleep_disorder,1952795
tachycardia,972309
tinnitus_hearing_problems,1641679
any_lc_symptom,79922838
postexertional_fatigue,NA
lc_code,NA
venous_thrombosembolism,221971
deep_vein_thrombosis,148809
pulmonary_embolism,80587
haemorrhagic_stroke,17818
ischemic_stroke,41203
transient_ischemic_attack,198097
myocardial_infarction,224932
myocarditis_pericarditis,13813
ventricular_arrhythmia_cardiac_arrest,34416
heart_failure,351708
any_pasc_event,1333354
dysautonomia,2749374
ibd,72198
juvenile_arthritis,1828
me_cfs,40041
me_cfs_symptoms,2117918
pots,104128
ra,75088
sle,9104
t1dm,56018
misc,NA
inf_t1dm,12
inf_intermittent_fever,32
inf_joint_pain,3336
inf_fatigue_malaise,1069
inf_dizziness,581
inf_ibd,40
inf_ventricular_arrhythmia_cardiac_arrest,10
inf_abdominal_pain,2430
inf_myocarditis_pericarditis,8
inf_anxiety,1951
inf_pots,53
inf_cough,2838
inf_transient_ischemic_attack,38
inf_muscle_spasms_and_pain,58
inf_depression_wo_recurrence,1901
inf_gastrointestinal_issues,1876
inf_deep_vein_thrombosis,52
inf_me_cfs_symptoms,563
inf_headache,1506
inf_altered_smell_taste,68
inf_memory_issues,96
inf_me_cfs,40
inf_cognitive_dysfunction_brain_fog,40
inf_heart_failure,119
inf_myocardial_infarction,77
inf_dysautonomia,688
inf_any_lc,14648
inf_menstrual_problems,211
inf_neuralgia,397
inf_tinnitus_hearing_problems,352
inf_chest_pain_angina,822
inf_blurred_vision,72
inf_venous_thrombosembolism,99
inf_allergy,1071
inf_dyspnea,1432
inf_juvenile_arthritis,NA
inf_pins_and_needles_sensation,101
inf_haemorrhagic_stroke,11
inf_sleep_disorder,372
inf_tachycardia,374
inf_ra,18
inf_any_pasc,354
inf_ischemic_stroke,14
inf_pulmonary_embolism,50
inf_sle,NA
inf_postexertional_fatigue,NA
inf_lc_code,NA
inf_misc,NA
reinf_depression_wo_recurrence,12
reinf_gastrointestinal_issues,8
reinf_allergy,NA
reinf_headache,NA
reinf_dyspnea,NA
reinf_pins_and_needles_sensation,NA
reinf_me_cfs,NA
reinf_sleep_disorder,NA
reinf_tachycardia,NA
reinf_dysautonomia,NA
reinf_intermittent_fever,NA
reinf_joint_pain,9
reinf_any_lc,64
reinf_fatigue_malaise,NA
reinf_dizziness,NA
reinf_menstrual_problems,NA
reinf_abdominal_pain,21
reinf_tinnitus_hearing_problems,NA
reinf_anxiety,9
reinf_cough,11
reinf_altered_smell_taste,NA
reinf_blurred_vision,NA
reinf_chest_pain_angina,NA
reinf_cognitive_dysfunction_brain_fog,NA
reinf_memory_issues,NA
reinf_muscle_spasms_and_pain,NA
reinf_neuralgia,NA
reinf_postexertional_fatigue,NA
reinf_lc_code,NA
reinf_venous_thrombosembolism,NA
reinf_deep_vein_thrombosis,NA
reinf_pulmonary_embolism,NA
reinf_haemorrhagic_stroke,NA
reinf_ischemic_stroke,NA
reinf_transient_ischemic_attack,NA
reinf_myocardial_infarction,NA
reinf_myocarditis_pericarditis,NA
reinf_ventricular_arrhythmia_cardiac_arrest,NA
reinf_heart_failure,NA
reinf_any_pasc,NA
reinf_ibd,NA
reinf_juvenile_arthritis,NA
reinf_me_cfs_symptoms,NA
reinf_misc,NA
reinf_pots,NA
reinf_ra,NA
reinf_sle,NA
reinf_t1dm,NA
testneg_t1dm,69
testneg_intermittent_fever,225
testneg_joint_pain,12518
testneg_fatigue_malaise,3479
testneg_dizziness,2157
testneg_ibd,122
testneg_ventricular_arrhythmia_cardiac_arrest,44
testneg_abdominal_pain,10022
testneg_myocarditis_pericarditis,39
testneg_anxiety,8044
testneg_pots,192
testneg_cough,12995
testneg_transient_ischemic_attack,191
testneg_muscle_spasms_and_pain,298
testneg_depression_wo_recurrence,7964
testneg_gastrointestinal_issues,7900
testneg_deep_vein_thrombosis,266
testneg_me_cfs_symptoms,2049
testneg_headache,5742
testneg_altered_smell_taste,51
testneg_memory_issues,342
testneg_me_cfs,65
testneg_cognitive_dysfunction_brain_fog,176
testneg_heart_failure,479
testneg_myocardial_infarction,277
testneg_dysautonomia,2619
testneg_any_lc,58238
testneg_menstrual_problems,801
testneg_neuralgia,1481
testneg_tinnitus_hearing_problems,1487
testneg_chest_pain_angina,3239
testneg_blurred_vision,228
testneg_venous_thrombosembolism,474
testneg_allergy,4411
testneg_dyspnea,5075
testneg_juvenile_arthritis,NA
testneg_pins_and_needles_sensation,459
testneg_haemorrhagic_stroke,41
testneg_sleep_disorder,1716
testneg_tachycardia,1607
testneg_ra,61
testneg_any_pasc,1494
testneg_ischemic_stroke,45
testneg_pulmonary_embolism,226
testneg_sle,7
testneg_postexertional_fatigue,NA
testneg_lc_code,NA
testneg_misc,NA
