"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",240944,26832728,837,2020-09-01,2020-12-31,73464.0054757016,1139.3334662059,1063.44513128623,1219.20743971498,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"2","1",257550,69653133,2752,2021-01-01,2021-12-22,190699.885010267,1443.10522256048,1389.68707773197,1498.05086491322,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"3","10",808990,91607565,3984,2020-09-01,2020-12-31,250807.843942505,1588.46706601141,1539.52083770184,1638.57346418487,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"4","10",846665,239740660,11295,2021-01-01,2021-12-22,656374.154688569,1720.817298993,1689.22675517655,1752.85019944468,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"5","100",962447,109811608,1689,2020-09-01,2020-12-31,300647.797399042,561.786919648786,535.311350319011,589.23308257983,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"6","100",993100,286962109,5179,2021-01-01,2021-12-22,785659.436002738,659.191471860837,641.359342501135,677.393722987375,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"7","101",941640,27666250,386,2020-09-01,2020-09-30,75746.0643394935,509.597433696291,460.021976011151,563.05931372196,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"8","101",925248,28227036,458,2020-10-01,2020-10-31,77281.4127310062,592.639269670397,539.599316523922,649.483221501504,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"9","101",909291,26554699,459,2020-11-01,2020-11-30,72702.803559206,631.337414142785,574.894198613954,691.824125343363,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"10","101",888588,27363623,386,2020-12-01,2020-12-31,74917.5167693361,515.233308103974,465.109572435584,569.286447860365,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"11","101",880170,26977498,450,2021-01-01,2021-01-31,73860.3641341547,609.257759930146,554.259370779271,668.236881484904,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"12","101",872019,24129000,417,2021-02-01,2021-02-28,66061.6016427105,631.229019022753,572.089988602968,694.821393827339,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
