"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",256283,28627177,91,2020-09-01,2020-12-31,78376.93908282,116.105580372106,93.4809707475437,142.551924359391,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"2","1",271626,74020784,280,2021-01-01,2021-12-22,202657.861738535,138.163897318353,122.453037955414,155.331572057928,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"3","10",895114,101849675,2541,2020-09-01,2020-12-31,278849.212867899,911.245175794621,876.155250937837,947.37999939236,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"4","10",930712,266881729,7662,2021-01-01,2021-12-22,730682.351813826,1048.60887648101,1025.25917788594,1072.35621482357,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"5","100",1033983,118329297,180,2020-09-01,2020-12-31,323967.958932238,55.5610501091712,47.7404929587207,64.2972927286788,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"6","100",1059418,308650707,477,2021-01-01,2021-12-22,845039.58110883,56.4470600742865,51.4944661195444,61.7474336512806,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"7","101",1013176,29798722,39,2020-09-01,2020-09-30,81584.4544832307,47.8032245812421,33.9927657359489,65.3485816673462,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"8","101",995750,30396238,52,2020-10-01,2020-10-31,83220.3641341547,62.4847061665986,46.6665672573312,81.9403789569414,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"9","101",978349,28627099,48,2020-11-01,2020-11-30,78376.7255304586,61.2426707994408,45.1555108789656,81.1988964216108,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"10","101",957707,29507238,41,2020-12-01,2020-12-31,80786.4147843942,50.7511072368075,36.4198707752765,68.8496075908043,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"11","101",946488,29029168,49,2021-01-01,2021-01-31,79477.53045859,61.6526453668944,45.6109664450591,81.5080667694762,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"12","101",937837,25963742,50,2021-02-01,2021-02-28,71084.8514715948,70.3384743231542,52.2065713990993,92.732509528669,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"13","101",930083,28501525,35,2021-03-01,2021-03-31,78032.9226557153,44.8528631362708,31.241662586547,62.3794748581263,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"14","101",927952,27474354,47,2021-04-01,2021-04-30,75220.681724846,62.4828157925023,45.9100228490205,83.0888990999435,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"15","101",918295,27896131,33,2021-05-01,2021-05-31,76375.4442162902,43.2076046674716,29.7421269438388,60.6795413692461,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"16","101",895024,26591101,42,2021-06-01,2021-06-30,72802.4668035592,57.6903528740687,41.5781319802722,77.9805977339701,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"17","101",892815,27331576,41,2021-07-01,2021-07-31,74829.7768651608,54.7910226618472,39.3189838337654,74.3302090369201,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
