"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",1517114,175892492,3555,2020-09-01,2020-12-31,481567.397672827,738.214425889196,714.144996749266,762.888277777767,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"2","1",1542438,466956442,10758,2021-01-01,2021-12-22,1278457.06228611,841.483090621973,825.65618545777,857.53712436438,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"3","10",1759155,204669904,222,2020-09-01,2020-12-31,560355.657768652,39.6176958191176,34.5772489738027,45.1862745284185,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"4","10",1775567,542365377,741,2021-01-01,2021-12-22,1484915.47433265,49.9018302932711,46.3730489044404,53.6279370394646,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"5","11",1735333,51380956,64,2020-09-01,2020-09-30,140673.3908282,45.4954555536102,35.0370445014929,58.096681062231,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"6","11",1705678,52180489,59,2020-10-01,2020-10-31,142862.392881588,41.2984822737096,31.4383181765128,53.2720331974674,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"7","11",1676458,49752074,54,2020-11-01,2020-11-30,136213.754962355,39.6435734518324,29.7814724979545,51.7262639248021,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"8","11",1663938,51356385,45,2020-12-01,2020-12-31,140606.119096509,32.0042970314207,23.3441538669488,42.8242674528478,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"9","11",1666114,51210618,55,2021-01-01,2021-01-31,140207.030800821,39.2277046920231,29.5516756433556,51.0602496658391,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"10","11",1649590,45750168,62,2021-02-01,2021-02-28,125257.133470226,49.4981788919332,37.9499699292351,63.4544314353476,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"11","11",1630726,50140628,84,2021-03-01,2021-03-31,137277.557837098,61.1898997355996,48.8074604439674,75.7572595320336,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"12","11",1627301,48315372,56,2021-04-01,2021-04-30,132280.27926078,42.3343527190477,31.97891508774,54.9746783223989,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"13","11",1607273,49035585,63,2021-05-01,2021-05-31,134252.114989733,46.9266350141433,36.0597148128277,60.0395511780613,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"14","11",1572370,46879779,73,2021-06-01,2021-06-30,128349.839835729,56.8758013982958,44.581549143913,71.5127812395063,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"15","11",1570614,48233951,76,2021-07-01,2021-07-31,132057.360711841,57.5507488490835,45.3434443590878,72.0333440336597,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"16","11",1563100,48069801,71,2021-08-01,2021-08-31,131607.942505133,53.948111830128,42.1339229221185,68.0482024127133,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"17","11",1560130,46480521,77,2021-09-01,2021-09-30,127256.73100616,60.5076048953926,47.7516555501531,75.6241243502195,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"18","11",1556822,47162383,63,2021-10-01,2021-10-31,129123.567419576,48.7904735432898,37.4919395141711,62.4242103108674,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"19","11",1535468,45409094,51,2021-11-01,2021-11-30,124323.323750856,41.0220692797791,30.5436250356277,53.9364451926844,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"20","11",1505975,15677477,10,2021-12-01,2021-12-22,42922.5927446954,23.2977538413866,11.1721785416261,42.8453988122387,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"21","12",1878432,747035281,963,2020-09-01,2021-12-22,2045271.1321013,47.0842219833524,44.1570084747696,50.1544844295936,"FALSE","FALSE",2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"22","13",1783242,207144906,245,2020-09-01,2020-12-31,567131.843942505,43.1998313296683,37.9593502284386,48.9615876178671,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"23","13",1804921,549876455,663,2021-01-01,2021-12-22,1505479.68514716,44.0391196600698,40.7502697446322,47.5227347760963,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"24","14",1756281,51965226,54,2020-09-01,2020-09-30,142273.034907598,37.9551894953752,28.5131065060161,49.5232891035687,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"25","14",1726287,52784194,71,2020-10-01,2020-10-31,144515.247091034,49.1297641108245,38.3707533777171,61.9705123921538,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"26","14",1697186,50381959,69,2020-11-01,2020-11-30,137938.286105407,50.0223701106978,38.9203897428593,63.3065108756793,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"27","14",1685789,52013527,51,2020-12-01,2020-12-31,142405.275838467,35.8132798800589,26.6653391980815,47.0878490854976,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"28","14",1687966,51867792,63,2021-01-01,2021-01-31,142006.275154004,44.3642366731169,34.0906975716293,56.7611305905151,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"29","14",1670675,46338759,66,2021-02-01,2021-02-28,126868.607802875,52.0223254144549,40.2340627067909,66.1851532043092,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"30","14",1650228,50780722,64,2021-03-01,2021-03-31,139030.039698836,46.0332170936837,35.4511864148219,58.7833905434532,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"31","14",1647264,48935713,53,2021-04-01,2021-04-30,133978.680355921,39.5585326405687,29.6320555083024,51.7435346765906,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"32","14",1626419,49685009,55,2021-05-01,2021-05-31,136030.140999316,40.4322156809914,30.459078162425,52.6280862829655,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"33","14",1593422,47532786,54,2021-06-01,2021-06-30,130137.675564682,41.4945170687029,31.1719583099378,54.1413438406552,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"34","14",1592260,48886475,62,2021-07-01,2021-07-31,133843.874058864,46.3226280888528,35.5152933374201,59.3835186216971,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"35","14",1584363,48715647,65,2021-08-01,2021-08-31,133376.1724846,48.7343419661449,37.6121362569665,62.1159194123956,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"36","14",1582233,47102868,63,2021-09-01,2021-09-30,128960.624229979,48.8521208517494,37.539310998646,62.503083998063,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"37","14",1586287,47845707,57,2021-10-01,2021-10-31,130994.406570842,43.5133083099807,32.9565547820377,56.3765380035709,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"38","14",1563709,46220974,43,2021-11-01,2021-11-30,126546.130047912,33.9797036730554,24.5912800337592,45.7704378541279,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"39","14",1532855,15964003,18,2021-12-01,2021-12-22,43707.0581793292,41.1832796573641,24.4078215848552,65.0873370401809,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"40","15",1910689,757021361,908,2020-09-01,2021-12-22,2072611.52908966,43.8094639181522,41.0059049452267,46.754229860977,"FALSE","FALSE",2,"ibd",FALSE,"overall",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"41","16",3542397,411814810,467,2020-09-01,2020-12-31,1127487.50171116,41.4195278698209,37.7476273955155,45.3521271741024,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"42","16",3580488,1092241832,1404,2021-01-01,2021-12-22,2990395.15947981,46.9503167683107,44.5262848258773,49.4720066953444,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"43","17",3491614,103346182,118,2020-09-01,2020-09-30,282946.425735797,41.704007991316,34.5195097221297,49.9428555622798,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
