"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",257519,28771962,NA,2020-09-01,2020-12-31,78773.3388090349,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"2","1",272747,74361144,NA,2021-01-01,2021-12-22,203589.716632444,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"3","10",1034617,118403865,192,2020-09-01,2020-12-31,324172.114989733,59.2277963223582,51.146020774578,68.2239816061832,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"4","10",1060219,308902975,568,2021-01-01,2021-12-22,845730.253251198,67.1608941286499,61.7505299113746,72.9183162319248,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"5","100",1037848,118795489,16,2020-09-01,2020-12-31,325244.323066393,4.91937871479278,2.81184998631772,7.98876283299708,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"6","100",1063176,309918337,45,2021-01-01,2021-12-22,848510.162902122,5.30341320203974,3.8683459813811,7.09638412473613,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"7","101",1017041,29914394,NA,2020-09-01,2020-09-30,81901.1471594798,NA,NA,NA,"FALSE","TRUE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"8","101",999594,30514670,5,2020-10-01,2020-10-31,83544.6132785763,5.98482631468733,1.94325681382349,13.9665881753681,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"9","101",982139,28740947,NA,2020-11-01,2020-11-30,78688.424366872,NA,NA,NA,"FALSE","TRUE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"10","101",961509,29625478,5,2020-12-01,2020-12-31,81110.1382614647,6.16445749837353,2.00158257021457,14.3857874359786,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"11","101",950246,29145686,NA,2021-01-01,2021-01-31,79796.5393566051,NA,NA,NA,"FALSE","TRUE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
