"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",16958587,16958587,1,"Starting population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"2","1",16958587,16958587,2,"Missing year of birth",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"3","1",16958587,16958587,3,"Missing sex",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"4","1",16945265,16945265,4,"Cannot satisfy age criteria during the study period based on year of birth",13322,13322,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"5","1",3809436,3809436,5,"No observation time available during study period",13135829,13135829,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"6","1",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"7","1",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"8","1",299736,299736,10,"No observation time available after applying age and prior history criteria",3509700,3509700,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"9","1",299755,299736,11,"Starting analysis population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"10","1",299722,299722,12,"Excluded due to prior event (do not pass outcome washout during study period)",33,14,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"11","1",299722,299722,14,"Not observed during the complete database interval",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"12","10",16958587,16958587,1,"Starting population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"13","10",16958587,16958587,2,"Missing year of birth",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"14","10",16958587,16958587,3,"Missing sex",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"15","10",16945265,16945265,4,"Cannot satisfy age criteria during the study period based on year of birth",13322,13322,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"16","10",3809436,3809436,5,"No observation time available during study period",13135829,13135829,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"17","10",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"18","10",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"19","10",1193264,1193264,10,"No observation time available after applying age and prior history criteria",2616172,2616172,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"20","10",1197652,1193264,11,"Starting analysis population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"21","10",1189788,1189788,12,"Excluded due to prior event (do not pass outcome washout during study period)",7864,3476,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"22","10",1189788,1189788,14,"Not observed during the complete database interval",0,0,1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"23","100",16958587,16958587,1,"Starting population",NA,NA,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"24","100",16958587,16958587,2,"Missing year of birth",0,0,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"25","100",16958587,16958587,3,"Missing sex",0,0,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"26","100",16945265,16945265,4,"Cannot satisfy age criteria during the study period based on year of birth",13322,13322,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"27","100",3809436,3809436,5,"No observation time available during study period",13135829,13135829,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"28","100",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"29","100",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"30","100",1193264,1193264,10,"No observation time available after applying age and prior history criteria",2616172,2616172,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"31","100",1193555,1193264,11,"Starting analysis population",NA,NA,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"32","100",1193036,1193036,12,"Excluded due to prior event (do not pass outcome washout during study period)",519,228,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"33","100",1193036,1193036,14,"Not observed during the complete database interval",0,0,6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"34","101",16958587,16958587,1,"Starting population",NA,NA,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"35","101",16958587,16958587,2,"Missing year of birth",0,0,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"36","101",16958587,16958587,3,"Missing sex",0,0,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"37","101",16945265,16945265,4,"Cannot satisfy age criteria during the study period based on year of birth",13322,13322,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"38","101",3809436,3809436,5,"No observation time available during study period",13135829,13135829,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"39","101",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"40","101",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"41","101",1193264,1193264,10,"No observation time available after applying age and prior history criteria",2616172,2616172,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"42","101",1193555,1193264,11,"Starting analysis population",NA,NA,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"43","101",1193036,1193036,12,"Excluded due to prior event (do not pass outcome washout during study period)",519,228,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"44","101",1193036,1193036,14,"Not observed during the complete database interval",0,0,6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
