"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",16958587,16958587,1,"Starting population",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"2","1",16958587,16958587,2,"Missing year of birth",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"3","1",16958587,16958587,3,"Missing sex",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"4","1",16958587,16958587,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"5","1",3809436,3809436,5,"No observation time available during study period",13149151,13149151,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"6","1",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"7","1",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"8","1",1888364,1888364,8,"Not Male",1921072,1921072,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"9","1",1888364,1888364,10,"No observation time available after applying age and prior history criteria",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"10","1",2154650,1888364,11,"Starting analysis population",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"11","1",1636391,1636391,12,"Excluded due to prior event (do not pass outcome washout during study period)",518259,251973,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"12","1",1636391,1636391,14,"Not observed during the complete database interval",0,0,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"13","10",16958587,16958587,1,"Starting population",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"14","10",16958587,16958587,2,"Missing year of birth",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"15","10",16958587,16958587,3,"Missing sex",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"16","10",16958587,16958587,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"17","10",3809436,3809436,5,"No observation time available during study period",13149151,13149151,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"18","10",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"19","10",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"20","10",1888364,1888364,8,"Not Male",1921072,1921072,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"21","10",1888364,1888364,10,"No observation time available after applying age and prior history criteria",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"22","10",1899259,1888364,11,"Starting analysis population",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"23","10",1878432,1878432,12,"Excluded due to prior event (do not pass outcome washout during study period)",20827,9932,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"24","10",1878432,1878432,14,"Not observed during the complete database interval",0,0,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"25","11",16958587,16958587,1,"Starting population",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"26","11",16958587,16958587,2,"Missing year of birth",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"27","11",16958587,16958587,3,"Missing sex",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"28","11",16958587,16958587,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"29","11",3809436,3809436,5,"No observation time available during study period",13149151,13149151,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"30","11",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"31","11",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"32","11",1888364,1888364,8,"Not Male",1921072,1921072,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"33","11",1888364,1888364,10,"No observation time available after applying age and prior history criteria",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"34","11",1899259,1888364,11,"Starting analysis population",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"35","11",1878432,1878432,12,"Excluded due to prior event (do not pass outcome washout during study period)",20827,9932,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"36","11",1878432,1878432,14,"Not observed during the complete database interval",0,0,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"37","12",16958587,16958587,1,"Starting population",NA,NA,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"38","12",16958587,16958587,2,"Missing year of birth",0,0,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"39","12",16958587,16958587,3,"Missing sex",0,0,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"40","12",16958587,16958587,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"41","12",3809436,3809436,5,"No observation time available during study period",13149151,13149151,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"42","12",3809436,3809436,6,"Doesn't satisfy age criteria during the study period",0,0,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"43","12",3809436,3809436,7,"Prior history requirement not fulfilled during study period",0,0,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"44","12",1888364,1888364,8,"Not Male",1921072,1921072,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"45","12",1888364,1888364,10,"No observation time available after applying age and prior history criteria",0,0,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"46","12",1899259,1888364,11,"Starting analysis population",NA,NA,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
"47","12",1878432,1878432,12,"Excluded due to prior event (do not pass outcome washout during study period)",20827,9932,2,"ibd",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,NA,NA,"cdm_gold_202201"
