"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",279,5177,NA,2020-12-01,2020-12-31,14.1738535249829,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"2","1",4237,683849,24,2021-01-01,2021-12-22,1872.2765229295,1281.86193150827,821.313126899978,1907.30894482822,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"3","10",1300,18619,NA,2020-12-01,2020-12-31,50.9760438056126,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"4","10",43063,7660964,797,2021-01-01,2021-12-22,20974.5763175907,3799.8383754316,3540.57709354793,4073.06342303349,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"5","100",1300,18619,NA,2020-12-01,2020-12-31,50.9760438056126,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"6","100",43063,7725080,243,2021-01-01,2021-12-22,21150.1163586585,1148.92984927017,1009.00191796931,1302.83675623227,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"7","101",1300,18619,NA,2020-12-01,2020-12-31,50.9760438056126,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"8","101",6183,110521,NA,2021-01-01,2021-01-31,302.590006844627,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"9","101",10324,233065,12,2021-02-01,2021-02-28,638.097193702943,1880.59125136764,971.728941909248,3285.01445470003,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"10","101",18449,438735,15,2021-03-01,2021-03-31,1201.1909650924,1248.76064138945,698.921851459105,2059.6407724048,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"11","101",24371,658439,21,2021-04-01,2021-04-30,1802.70773442847,1164.91428970641,721.100305713032,1780.69523538826,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"12","101",26418,771925,28,2021-05-01,2021-05-31,2113.41546885695,1324.86964407164,880.366256896973,1914.80551456148,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"13","101",26796,779368,19,2021-06-01,2021-06-30,2133.79329226557,890.433017521889,536.09884358672,1390.52145674722,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"14","101",27221,824015,23,2021-07-01,2021-07-31,2256.03011635866,1019.4899364696,646.269166857469,1529.73546960162,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"15","101",27721,830139,32,2021-08-01,2021-08-31,2272.79671457906,1407.95698069841,963.041532526081,1987.61516107644,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"16","101",32759,857311,31,2021-09-01,2021-09-30,2347.18959616701,1320.72841710884,897.370881906515,1874.66856427383,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"17","101",36713,995861,26,2021-10-01,2021-10-31,2726.51882272416,953.596937725245,622.921179712486,1397.24045789135,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"18","101",33540,928029,21,2021-11-01,2021-11-30,2540.80492813142,826.509731915705,511.622550796778,1263.40792162078,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"19","101",29086,297672,12,2021-12-01,2021-12-22,814.981519507187,1472.42602596146,760.824013834284,2572.03194752836,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"20","102",43116,7743699,243,2020-12-01,2021-12-22,21201.0924024641,1146.16735490364,1006.57586722655,1299.70420710242,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"overall",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"21","103",1190,15844,NA,2020-12-01,2020-12-31,43.378507871321,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"22","103",38857,7917055,342,2021-01-01,2021-12-22,21675.7152635181,1577.80260463013,1414.99440625787,1754.20608225555,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
