"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",112300,112300,1,"Starting population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"2","1",112300,112300,2,"Missing year of birth",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"3","1",112300,112300,3,"Missing sex",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"4","1",112300,112300,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"5","1",112300,112300,5,"No observation time available during study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"6","1",112300,112300,6,"Doesn't satisfy age criteria during the study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"7","1",112300,112300,7,"Prior history requirement not fulfilled during study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"8","1",4240,4240,10,"No observation time available after applying age and prior history criteria",108060,108060,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"9","1",4267,4240,11,"Starting analysis population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"10","1",4240,4240,12,"Excluded due to prior event (do not pass outcome washout during study period)",27,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"11","1",4240,4240,14,"Not observed during the complete database interval",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"12","10",112300,112300,1,"Starting population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"13","10",112300,112300,2,"Missing year of birth",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"14","10",112300,112300,3,"Missing sex",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"15","10",112300,112300,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"16","10",112300,112300,5,"No observation time available during study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"17","10",112300,112300,6,"Doesn't satisfy age criteria during the study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"18","10",112300,112300,7,"Prior history requirement not fulfilled during study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"19","10",43116,43116,10,"No observation time available after applying age and prior history criteria",69184,69184,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"20","10",44071,43116,11,"Starting analysis population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"21","10",43116,43116,12,"Excluded due to prior event (do not pass outcome washout during study period)",955,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
