"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",112300,112300,1,"Starting population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"2","1",112300,112300,2,"Missing year of birth",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"3","1",112300,112300,3,"Missing sex",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"4","1",112300,112300,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"5","1",112300,112300,5,"No observation time available during study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"6","1",112300,112300,6,"Doesn't satisfy age criteria during the study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"7","1",112300,112300,7,"Prior history requirement not fulfilled during study period",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"8","1",51212,51212,8,"Not Male",61088,61088,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"9","1",51212,51212,10,"No observation time available after applying age and prior history criteria",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"10","1",51925,51212,11,"Starting analysis population",NA,NA,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"11","1",51212,51212,12,"Excluded due to prior event (do not pass outcome washout during study period)",713,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"12","1",51212,51212,14,"Not observed during the complete database interval",0,0,1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"13","10",112300,112300,1,"Starting population",NA,NA,2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"14","10",112300,112300,2,"Missing year of birth",0,0,2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"15","10",112300,112300,3,"Missing sex",0,0,2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
"16","10",112300,112300,4,"Cannot satisfy age criteria during the study period based on year of birth",0,0,2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,1,"infection","cdm_gold_202201"
