"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",175,14005,NA,2021-04-11,2021-12-21,38.3436002737851,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"2","10",175,14066,NA,2021-04-11,2021-12-21,38.5106091718001,NA,NA,NA,"FALSE","TRUE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"3","100",175,14045,NA,2021-04-11,2021-12-21,38.4531143052704,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"4","101",5,60,NA,2021-04-11,2021-04-30,0.164271047227926,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"5","101",12,242,NA,2021-05-01,2021-05-31,0.662559890485969,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"6","101",14,345,NA,2021-06-01,2021-06-30,0.944558521560575,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"7","101",23,598,NA,2021-07-01,2021-07-31,1.637234770705,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"8","101",37,871,NA,2021-08-01,2021-08-31,2.38466803559206,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"9","101",88,1689,NA,2021-09-01,2021-09-30,4.62422997946612,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"10","101",152,3778,NA,2021-10-01,2021-10-31,10.3436002737851,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
"11","101",164,4799,NA,2021-11-01,2021-11-30,13.138945927447,NA,NA,NA,"FALSE","TRUE",16,"reinf_joint_pain",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,2,"reinfection","cdm_gold_202201"
