"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",2135,36738,NA,2020-12-01,2020-12-31,100.583162217659,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"2","1",36564,6154393,283,2021-01-01,2021-12-21,16849.8097193703,1679.5441890045,1489.54459042604,1887.06354233052,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"3","10",9246,155394,9,2020-12-01,2020-12-31,425.445585215606,2115.42916714931,967.308920432858,4015.74350401615,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"4","10",139619,26642819,3091,2021-01-01,2021-12-21,72944.0629705681,4237.49360005786,4089.41105019065,4389.5680957768,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"5","100",9246,155475,NA,2020-12-01,2020-12-31,425.667351129363,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"6","100",139624,26917778,863,2021-01-01,2021-12-21,73696.8596851472,1171.0132611986,1094.17869219053,1251.82018506876,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"7","101",9246,155475,NA,2020-12-01,2020-12-31,425.667351129363,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"8","101",30558,625474,12,2021-01-01,2021-01-31,1712.45448323066,700.748552297937,362.087002570976,1224.06669803167,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"9","101",47908,1096409,37,2021-02-01,2021-02-28,3001.80424366872,1232.59203454185,867.858542809798,1698.96575532855,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"10","101",72851,1876631,59,2021-03-01,2021-03-31,5137.9356605065,1148.32111374053,874.155236585151,1481.25057204537,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"11","101",87366,2413510,78,2021-04-01,2021-04-30,6607.8302532512,1180.41773185112,933.071232795127,1473.21475158919,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"12","101",93436,2740729,101,2021-05-01,2021-05-31,7503.70704996578,1346.00137408697,1096.34022550779,1635.51368528426,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"13","101",98316,2791675,109,2021-06-01,2021-06-30,7643.18959616701,1426.10619072779,1170.98157542191,1720.30851679218,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"14","101",101293,3016404,100,2021-07-01,2021-07-31,8258.46406570842,1210.87891409771,985.219413725737,1472.7531999256,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"15","101",104298,3083275,85,2021-08-01,2021-08-31,8441.54688569473,1006.92445532753,804.295491385011,1245.07768235003,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"16","101",111747,3017134,104,2021-09-01,2021-09-30,8260.46269678302,1259.00937777374,1028.70189515199,1525.50058780703,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"17","101",110633,2989763,83,2021-10-01,2021-10-31,8185.52498288843,1013.98505500269,807.633436291525,1256.98703519147,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"18","101",93176,2510990,77,2021-11-01,2021-11-30,6874.71594798084,1120.04627656821,883.923005899529,1399.86567049928,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"19","101",74892,755784,18,2021-12-01,2021-12-21,2069.22381930185,869.891397542155,515.552773019927,1374.80344089245,"FALSE","FALSE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
