"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",11572,194252,8,2020-12-01,2020-12-31,531.832991101985,1504.23161666289,649.420444864089,2963.93595055681,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"2","1",181127,33626706,2251,2021-01-01,2021-12-22,92064.9034907598,2445.01423957494,2345.0421958683,2548.15241828381,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"3","10",11572,194282,5,2020-12-01,2020-12-31,531.915126625599,939.999588227422,305.215307640828,2193.64546997283,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"4","10",181130,33721754,1302,2021-01-01,2021-12-21,92325.1307323751,1410.23358393517,1334.66371576322,1488.9676575658,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"5","100",11572,194342,NA,2020-12-01,2020-12-31,532.079397672827,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"6","100",181133,33797543,744,2021-01-01,2021-12-22,92532.629705681,804.040696094388,747.29603644901,863.951852692279,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"7","101",11572,194342,NA,2020-12-01,2020-12-31,532.079397672827,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"8","101",35138,734031,12,2021-01-01,2021-01-31,2009.66735112936,597.113745877218,308.537385813513,1043.0375473034,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"9","101",56836,1276462,29,2021-02-01,2021-02-28,3494.76249144422,829.813186761533,555.738914592787,1191.75015585609,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"10","101",86270,2237883,45,2021-03-01,2021-03-31,6126.98973305955,734.455286536427,535.716725803031,982.758958645926,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"11","101",103394,2855416,81,2021-04-01,2021-04-30,7817.7029431896,1036.10997486881,822.8208779688,1287.79009527131,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"12","101",110877,3244264,66,2021-05-01,2021-05-31,8882.31074606434,743.049887432096,574.67472910986,945.341644117914,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"13","101",119074,3359282,86,2021-06-01,2021-06-30,9197.2128678987,935.065886103042,747.932011927939,1154.79876248872,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"14","101",125125,3715197,80,2021-07-01,2021-07-31,10171.6550308008,786.499343103475,623.645064632084,978.866513521541,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"15","101",132827,3902574,70,2021-08-01,2021-08-31,10684.6652977413,655.144527688649,510.717299862273,827.735697539681,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"16","101",147536,3942539,96,2021-09-01,2021-09-30,10794.083504449,889.37611016657,720.397504641723,1086.08045278702,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"17","101",147778,4018634,86,2021-10-01,2021-10-31,11002.4202600958,781.646201171841,625.216067174395,965.326699682186,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"18","101",127602,3459332,78,2021-11-01,2021-11-30,9471.13483915127,823.554952227771,650.986014370222,1027.83385205815,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"19","101",103514,1051929,15,2021-12-01,2021-12-22,2880.02464065708,520.82887723411,291.503968898957,859.028027824141,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"20","102",181135,33991885,746,2020-12-01,2021-12-22,93064.7091033539,801.592791926661,745.095391312852,861.23853443828,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"21","103",14231,239522,NA,2020-12-01,2020-12-31,655.775496235455,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"22","103",231588,44423627,2238,2021-01-01,2021-12-22,121625.262149213,1840.07825385352,1764.62497498075,1917.92820478443,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"23","104",14231,239522,NA,2020-12-01,2020-12-31,655.775496235455,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"24","104",49031,993165,38,2021-01-01,2021-01-31,2719.13757700205,1397.5019256619,988.955537690907,1918.18057903365,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"25","104",78882,1784547,66,2021-02-01,2021-02-28,4885.82340862423,1350.84702168113,1044.74498870631,1718.60862376422,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"26","104",117902,3068269,157,2021-03-01,2021-03-31,8400.46269678302,1868.94467206102,1588.03331634685,2185.22990561672,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"27","104",139835,3877641,205,2021-04-01,2021-04-30,10616.4024640657,1930.97427018128,1675.67502951799,2214.17404218903,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"28","104",149328,4383211,285,2021-05-01,2021-05-31,12000.5776865161,2374.88567171418,2107.14099746662,2667.22786435451,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"29","104",159639,4518639,290,2021-06-01,2021-06-30,12371.3593429158,2344.12397184196,2082.06727888008,2630.03698248797,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"30","104",165914,4949008,254,2021-07-01,2021-07-31,13549.6454483231,1874.58779618057,1651.12054643572,2119.86535997715,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"31","104",174135,5139764,280,2021-08-01,2021-08-31,14071.9069130732,1989.78007550541,1763.51868930977,2237.02192234513,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"32","104",189479,5109935,246,2021-09-01,2021-09-30,13990.2395619439,1758.36874637349,1545.48459146051,1992.38329503972,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"33","104",187918,5079027,205,2021-10-01,2021-10-31,13905.6180698152,1474.22429532271,1279.31318284686,1690.43638616765,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"34","104",158024,4247317,167,2021-11-01,2021-11-30,11628.5201916496,1436.12426385881,1226.56809391785,1671.21464257141,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"35","104",126085,1273104,45,2021-12-01,2021-12-22,3485.56878850103,1291.0374957584,941.691608454819,1727.50974519868,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"36","105",231590,44663149,2239,2020-12-01,2021-12-22,122281.037645448,1831.02796894146,1755.96239570967,1908.4773574658,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"overall",FALSE,2,NA,5,"Denominator cohort 2","0;150","Female",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"37","106",25803,433864,NA,2020-12-01,2020-12-31,1187.85489390828,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"38","106",412721,78221170,2982,2021-01-01,2021-12-22,214157.891854894,1392.43059136037,1342.89759059576,1443.32343231915,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"39","107",25803,433864,NA,2020-12-01,2020-12-31,1187.85489390828,NA,NA,NA,"FALSE","TRUE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"40","107",84169,1727196,50,2021-01-01,2021-01-31,4728.80492813142,1057.34960016119,784.785253388031,1393.9836315131,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"41","107",135718,3061009,95,2021-02-01,2021-02-28,8380.58590006845,1133.57229593249,917.127680329634,1385.73334857897,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"42","107",204172,5306152,202,2021-03-01,2021-03-31,14527.4524298426,1390.47090999278,1205.32200065933,1596.0124382529,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"43","107",243229,6733057,286,2021-04-01,2021-04-30,18434.1054072553,1551.47208764162,1376.85594997723,1742.10063549662,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"44","107",260205,7627475,351,2021-05-01,2021-05-31,20882.8884325804,1680.80196919688,1509.54318251507,1866.16896416246,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"45","107",278713,7877921,376,2021-06-01,2021-06-30,21568.5722108145,1743.27719204089,1571.502833608,1928.70317590785,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"46","107",291039,8664205,334,2021-07-01,2021-07-31,23721.3004791239,1408.01723874262,1261.04681273815,1567.41318271224,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"47","107",306962,9042338,350,2021-08-01,2021-08-31,24756.5722108145,1413.7659972454,1269.51572040457,1569.9172546864,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"48","107",337015,9052474,342,2021-09-01,2021-09-30,24784.3230663929,1379.90454322211,1237.51678701711,1534.18237208433,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"49","107",335696,9097661,291,2021-10-01,2021-10-31,24908.038329911,1168.2975437313,1037.90795520151,1310.53573134974,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"50","107",285626,7706649,245,2021-11-01,2021-11-30,21099.6550308008,1161.1564247963,1020.2989697456,1316.0250927107,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"51","107",229599,2325033,60,2021-12-01,2021-12-22,6365.59342915811,942.567266787181,719.278123234817,1213.27091128498,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"52","108",412725,78655034,2985,2020-12-01,2021-12-22,215345.746748802,1386.14300262079,1336.85823270168,1436.78010763983,"FALSE","FALSE",12,"testneg_fatigue_malaise",FALSE,"overall",FALSE,3,NA,5,"Denominator cohort 3","0;150","Both",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"53","109",11572,194302,9,2020-12-01,2020-12-31,531.969883641342,1691.82509701393,773.610165524511,3211.6110285179,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"54","109",181126,33607639,2370,2021-01-01,2021-12-22,92012.7008898015,2575.7313686927,2473.06556790852,2681.56453334773,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"55","11",11572,194282,5,2020-12-01,2020-12-31,531.915126625599,939.999588227422,305.215307640828,2193.64546997283,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"56","11",35135,733637,29,2021-01-01,2021-01-31,2008.58863791923,1443.79986287496,966.935427737339,2073.5374407839,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"57","11",56816,1275736,40,2021-02-01,2021-02-28,3492.77481177276,1145.22126835019,818.162864249611,1559.46632403532,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"58","11",86239,2236334,81,2021-03-01,2021-03-31,6122.74880219028,1322.93521450731,1050.60152020501,1644.2876791567,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"59","11",103327,2852867,134,2021-04-01,2021-04-30,7810.7241615332,1715.58996616386,1437.42437446989,2031.88064767105,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"60","11",110763,3240446,88,2021-05-01,2021-05-31,8871.85763175907,991.900497647546,795.533203986985,1222.04915523377,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"61","11",118940,3352828,287,2021-06-01,2021-06-30,9179.54277891855,3126.51737577949,2775.22714817278,3509.96220445042,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"62","11",124790,3703192,177,2021-07-01,2021-07-31,10138.7871321013,1745.77094571386,1498.04953366542,2022.75748990009,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"63","11",132404,3888621,126,2021-08-01,2021-08-31,10646.4640657084,1183.4915256591,985.880046785135,1409.09743969212,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"64","11",147066,3929797,98,2021-09-01,2021-09-30,10759.1978097194,910.848575638894,739.470901840616,1110.03266605292,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"65","11",147404,4007897,124,2021-10-01,2021-10-31,10973.0239561944,1130.04401061205,939.912142020303,1347.34340032069,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"66","11",127285,3450883,94,2021-11-01,2021-11-30,9448.00273785079,994.919271386483,803.996045585078,1217.52921670935,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"67","11",103266,1049516,24,2021-12-01,2021-12-21,2873.41820670773,835.242149714726,535.155405460634,1242.77411169704,"FALSE","FALSE",2,"testneg_allergy",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"68","110",11572,194302,9,2020-12-01,2020-12-31,531.969883641342,1691.82509701393,773.610165524511,3211.6110285179,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"69","110",35131,733480,42,2021-01-01,2021-01-31,2008.15879534565,2091.46807002236,1507.3462219539,2827.05724816542,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"70","110",56801,1274656,93,2021-02-01,2021-02-28,3489.81793292266,2664.89546983657,2150.91457967223,3264.67698932125,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"71","110",86172,2233308,165,2021-03-01,2021-03-31,6114.46406570842,2698.51941604114,2302.47353649217,3143.13369978834,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"72","110",103177,2847709,204,2021-04-01,2021-04-30,7796.60232717317,2616.52437099437,2269.77026610564,3001.27190524961,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"73","110",110543,3231278,229,2021-05-01,2021-05-31,8846.75701574264,2588.51915557869,2264.09034737037,2946.38874485476,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"74","110",118582,3341837,280,2021-06-01,2021-06-30,9149.45106091718,3060.29288681644,2712.30160915734,3440.55223030934,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"75","110",124451,3692693,218,2021-07-01,2021-07-31,10110.0424366872,2156.27185904704,1879.51688434707,2462.3047017499,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
"76","110",132030,3874861,270,2021-08-01,2021-08-31,10608.7912388775,2545.05903566605,2250.50958126949,2867.44771891225,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-02-01,3,"test_negative","cdm_gold_202201"
